condition,cell_type,side,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_positive_delta,input_rate_hz,student_mean_rate_hz
baseline_gray,T5a,right,721,740,0.11175657638989489,0.11175657638989489,0.0,0.0,0.0
baseline_gray,T5b,left,721,758,0.014668236694643318,0.014668236694643318,0.0,0.0,0.0
baseline_gray,T5b,right,721,762,0.014668236694643318,0.014668236694643318,0.0,0.0,0.0
baseline_gray,T5c,left,721,763,-0.02281167717476273,-0.02281167717476273,0.0,0.0,0.0
baseline_gray,T5c,right,721,766,-0.02281167717476273,-0.02281167717476273,0.0,0.0,0.0
baseline_gray,T5d,left,721,740,-0.008648808860104589,-0.008648808860104589,0.0,0.0,0.0
baseline_gray,T5d,right,721,727,-0.008648808860104589,-0.008648808860104589,0.0,0.0,0.0
baseline_gray,Tm1,left,721,773,0.25418798348785027,0.25418798348785027,0.0,0.0,0.0
baseline_gray,Tm1,right,721,771,0.25418798348785027,0.25418798348785027,0.0,0.0,0.0
baseline_gray,Tm16,left,721,168,-0.2450590306899268,-0.2450590306899268,0.0,0.0,0.0
baseline_gray,Tm16,right,721,175,-0.2450590306899268,-0.2450590306899268,0.0,0.0,0.0
baseline_gray,Tm2,left,721,765,-0.32067304587924284,-0.32067304587924284,0.0,0.0,0.0
baseline_gray,Tm2,right,721,763,-0.32067304587924284,-0.32067304587924284,0.0,0.0,0.0
baseline_gray,Tm20,left,721,747,0.5364302146337647,0.5364302146337647,0.0,0.0,0.0
baseline_gray,Tm20,right,721,741,0.5364302146337647,0.5364302146337647,0.0,0.0,0.0
baseline_gray,Tm3,left,721,889,1.6702640961013455,1.6702640961013455,0.0,0.0,0.0
baseline_gray,Tm3,right,721,857,1.6702640961013455,1.6702640961013455,0.0,0.0,0.0
baseline_gray,Tm4,left,721,755,-0.008280457847305694,-0.008280457847305694,0.0,0.0,0.0
baseline_gray,Tm4,right,721,734,-0.008280457847305694,-0.008280457847305694,0.0,0.0,0.0
baseline_gray,Tm5Y,left,721,407,0.2936388212081753,0.2936388212081753,0.0,0.0,0.0
baseline_gray,Tm5Y,right,721,401,0.2936388212081753,0.2936388212081753,0.0,0.0,0.0
baseline_gray,Tm5a,left,721,229,-0.206870148273575,-0.206870148273575,0.0,0.0,0.0
baseline_gray,Tm5a,right,721,221,-0.206870148273575,-0.206870148273575,0.0,0.0,0.0
baseline_gray,Tm5c,left,721,297,1.3256751328006635,1.3256751328006635,0.0,0.0,0.0
baseline_gray,Tm5c,right,721,310,1.3256751328006635,1.3256751328006635,0.0,0.0,0.0
baseline_gray,Tm9,left,721,756,-0.02698992450692791,-0.02698992450692791,0.0,0.0,0.0
baseline_gray,Tm9,right,721,750,-0.02698992450692791,-0.02698992450692791,0.0,0.0,0.0
baseline_gray,TmY14,left,721,185,-1.0332390703738832,-1.0332390703738832,0.0,0.0,0.0
baseline_gray,TmY14,right,721,185,-1.0332390703738832,-1.0332390703738832,0.0,0.0,0.0
baseline_gray,TmY15,left,721,106,0.6677045818216758,0.6677045818216758,0.0,0.0,0.0
baseline_gray,TmY15,right,721,119,0.6677045818216758,0.6677045818216758,0.0,0.0,0.0
baseline_gray,TmY18,left,721,569,1.8105015045602841,1.8105015045602841,0.0,0.0,0.0
baseline_gray,TmY18,right,721,559,1.8105015045602841,1.8105015045602841,0.0,0.0,0.0
baseline_gray,TmY3,left,721,374,-0.8081851075797364,-0.8081851075797364,0.0,0.0,0.0
baseline_gray,TmY3,right,721,360,-0.8081851075797364,-0.8081851075797364,0.0,0.0,0.0
baseline_gray,TmY4,left,721,215,0.03921795776540485,0.03921795776540485,0.0,0.0,0.0
baseline_gray,TmY4,right,721,211,0.03921795776540485,0.03921795776540485,0.0,0.0,0.0
baseline_gray,TmY5a,left,721,504,0.5994574370913158,0.5994574370913158,0.0,0.0,0.0
baseline_gray,TmY5a,right,721,521,0.5994574370913158,0.5994574370913158,0.0,0.0,0.0
baseline_gray,TmY9,left,721,371,1.4208601187919776,1.4208601187919776,0.0,0.0,0.0
baseline_gray,TmY9,right,721,356,1.4208601187919776,1.4208601187919776,0.0,0.0,0.0
body_left_dark,Am,left,721,84,-3.0779932826013408,-3.676418104176713,0.5984248215753722,107.022070609457,58.92857142857143
body_left_dark,Am,right,721,229,-3.0778489433611314,-3.676418104176713,0.5985691608155816,107.04788418503152,59.82532751091703
body_left_dark,C2,left,721,723,0.23339351216504214,0.2509370452792858,0.0,0.0,0.0
body_left_dark,C2,right,721,733,0.2326127400727692,0.2509370452792858,0.0,0.0,0.0
body_left_dark,C3,left,721,699,0.24162317531237615,0.2415862400924345,3.693521994163618e-05,0.006605480879224762,0.0
body_left_dark,C3,right,721,761,0.24177215476849745,0.2415862400924345,0.0001859146760629371,0.033248910926793725,0.0
body_left_dark,L1,left,721,789,-2.3153661021784506,-2.565552126559404,0.2501860243809535,44.743174750523515,29.91128010139417
body_left_dark,L1,right,721,790,-2.3153576970141736,-2.565552126559404,0.2501944295452305,44.744677926949876,29.303797468354432
body_left_dark,L2,left,721,764,-2.305825564261118,-2.5756758615147226,0.26985029725360477,48.25992593460763,28.664921465968586
body_left_dark,L2,right,721,790,-2.305855722743992,-2.5756758615147226,0.26982013877073063,48.254532402843466,30.0
body_left_dark,L3,left,721,680,0.12661167491460623,0.0704091596716745,0.056202515242931725,10.05123674336182,6.102941176470588
body_left_dark,L3,right,721,726,0.12714408310822917,0.0704091596716745,0.05673492343655466,10.146452424992416,7.7134986225895315
body_left_dark,L4,left,721,659,1.0754167318716128,1.0686288824235186,0.006787849448094185,1.2139364490394933,0.9104704097116844
body_left_dark,L4,right,721,739,1.0751565241367245,1.0686288824235186,0.006527641713205856,1.167400995341174,0.4736129905277402
body_left_dark,L5,left,721,821,0.07624414340631591,0.11559486711312514,0.0,0.0,0.0
body_left_dark,L5,right,721,786,0.07652765001207797,0.11559486711312514,0.0,0.0,0.06361323155216285
body_left_dark,Lawf1,left,123,199,-0.5269305435600488,-0.47671180197854796,0.0,0.0,0.0
body_left_dark,Lawf1,right,123,156,-0.5272957954964623,-0.47671180197854796,0.0,0.0,0.0
body_left_dark,Lawf2,left,123,145,0.46778916643281293,0.5242224922327976,0.0,0.0,0.0
body_left_dark,Lawf2,right,123,168,0.47313743110412987,0.5242224922327976,0.0,0.0,0.0
body_left_dark,Mi1,left,721,787,0.4797446909470383,0.8997077064875425,0.0,0.0,0.0
body_left_dark,Mi1,right,721,793,0.48261229770617164,0.8997077064875425,0.0,0.0,0.0
body_left_dark,Mi10,left,721,195,1.0897275462343607,1.3249444319103196,0.0,0.0,0.0
body_left_dark,Mi10,right,721,206,1.093534716269345,1.3249444319103196,0.0,0.0,0.0
body_left_dark,Mi13,left,721,367,0.6499083583164397,0.6806043193787956,0.0,0.0,0.0
body_left_dark,Mi13,right,721,353,0.6473631718649365,0.6806043193787956,0.0,0.0,0.0
body_left_dark,Mi14,left,721,124,0.25419693930273496,0.2915014032734333,0.0,0.0,0.0
body_left_dark,Mi14,right,721,124,0.25634979927620427,0.2915014032734333,0.0,0.0,0.0
body_left_dark,Mi15,left,721,498,0.03626639749105612,0.3664863612231554,0.0,0.0,0.0
body_left_dark,Mi15,right,721,482,0.030597493089942182,0.3664863612231554,0.0,0.0,0.0
body_left_dark,Mi2,left,721,410,1.1835728559369187,1.2401932511845508,0.0,0.0,0.0
body_left_dark,Mi2,right,721,419,1.1849219991661475,1.2401932511845508,0.0,0.0,0.0
body_left_dark,Mi4,left,721,764,1.9092195079140055,2.5961487655335427,0.0,0.0,0.0
body_left_dark,Mi4,right,721,764,1.911215279651767,2.5961487655335427,0.0,0.0,0.0
body_left_dark,Mi9,left,721,801,0.4827196958521579,0.13652539833143065,0.3461942975207273,61.9132583042231,36.64169787765293
body_left_dark,Mi9,right,721,767,0.48553913200073934,0.13652539833143065,0.34901373366930866,62.417485207408674,38.591916558018255
body_left_dark,R7,left,721,672,0.2625058435030209,0.4320753999054432,0.0,0.0,0.0
body_left_dark,R7,right,721,671,0.2625058435030209,0.4320753999054432,0.0,0.0,0.0
body_left_dark,R8,left,721,670,1.4799804929101352,1.777094915509224,0.0,0.0,0.0
body_left_dark,R8,right,721,654,1.4799804929101352,1.777094915509224,0.0,0.0,0.0
body_left_dark,T1,left,721,645,-0.2003658724720777,-0.33451253229212247,0.13414665982004476,23.990738321129953,16.666666666666668
body_left_dark,T1,right,721,745,-0.20040192493223347,-0.33451253229212247,0.134110607359889,23.984290712679694,16.308724832214764
body_left_dark,T2,left,721,738,4.486882134217991,5.059273368463272,0.0,0.0,0.0
body_left_dark,T2,right,721,716,4.543080486615554,5.059273368463272,0.0,0.0,0.0
body_left_dark,T2a,left,721,910,0.3008578921858436,0.4931501398707808,0.0,0.0,0.0
body_left_dark,T2a,right,721,871,0.31112524351891746,0.4931501398707808,0.0,0.0,0.0
body_left_dark,T3,left,721,825,0.4532864909415972,0.686323561838695,0.0,0.0,0.0
body_left_dark,T3,right,721,790,0.44991830746635497,0.686323561838695,0.0,0.0,0.0
body_left_dark,T4a,left,721,729,-0.12181747572237142,0.14835371661864027,0.0,0.0,0.0
body_left_dark,T4a,right,721,734,-0.14780777859641286,0.14835371661864027,0.0,0.0,0.0
body_left_dark,T4b,left,721,756,-0.16915270526949172,0.008925139044429887,0.0,0.0,0.0
body_left_dark,T4b,right,721,751,-0.156452929603031,0.008925139044429887,0.0,0.0,0.0
body_left_dark,T4c,left,721,850,-0.16997778500998356,-0.017588837858833695,0.0,0.0,0.0
body_left_dark,T4c,right,721,842,-0.1479132030064254,-0.017588837858833695,0.0,0.0,0.0
body_left_dark,T4d,left,721,802,-0.13698111981727976,-0.17112019869541534,0.03413907887813558,6.105420060316581,3.802992518703242
