condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz,student_raw_voltage_mv,student_delta_voltage_mv,student_raw_conductance,student_delta_conductance
body_right_dark,L5,right,2,225,200,0.02112022056470677,0.11046205864598353,-0.08934183808127677,-0.08934183808127677,-6.818003433241524,0.0,0.0,-321.3728512573242,-269.3728512573242,-342.1688929748535,-342.1688929748535
body_right_dark,L5,left,3,135,215,0.061155038070864975,0.1193902332611658,-0.05823519519030082,-0.05823519519030082,-4.444141392991667,0.0,0.0,-210.2661257721657,-158.2661257721657,-200.9495812704397,-200.9495812704397
body_right_dark,L5,right,3,135,193,0.11939317341893911,0.1193902332611658,2.940157773315133e-06,2.940157773315133e-06,0.00022437422626673428,46.73575129533679,46.73575129533679,-49.840553165099784,2.1594468349002156,9.256204658553457,9.256204658553457
body_right_dark,Lawf1,left,0,27,52,-0.5013266331343739,-0.5012098590808886,-0.00011677405348531344,-0.00011677405348531344,-0.00891145643155564,0.0,0.0,-52.170434144827034,-1.1704341448270341,-1.5102024708802884,-1.5102024708802884
body_right_dark,Lawf1,right,0,27,45,-0.5755015786875177,-0.5012098590808886,-0.07429171960662917,-0.07429171960662917,-5.669473677926995,0.0,0.0,-266.8430372450087,-214.8430372450087,-273.0251505533854,-273.0251505533854
body_right_dark,Lawf1,left,1,35,47,-0.6741537392139435,-0.5548683599701949,-0.1192853792437486,-0.1192853792437486,-9.103104913506751,0.0,0.0,-378.6693822982463,-327.7757652769697,-416.25195896879154,-416.25195896879154
body_right_dark,Lawf1,right,1,35,33,-0.5548684972737516,-0.5548683599701949,-1.3730355674645978e-07,-1.3730355674645978e-07,-1.0478138142199469e-05,0.0,0.0,-59.52780960545395,-7.527809605453953,-9.821110006534692,-9.821110006534692
body_right_dark,Lawf1,left,2,35,48,-0.4153861460142902,-0.4153874623988356,1.3163845454244871e-06,1.3163845454244871e-06,0.0001004581340939653,0.0,0.0,-55.79267923037211,-3.7926792303721086,-4.98778521871039,-4.98778521871039
body_right_dark,Lawf1,right,2,35,33,-0.5345542039722204,-0.4153874623988356,-0.1191667415733848,-0.1191667415733848,-9.09405123763413,0.0,0.0,-393.8917929909446,-341.8917929909446,-434.44528845584756,-434.44528845584756
body_right_dark,Lawf1,left,3,26,52,-0.5072179910941765,-0.42861275635620516,-0.07860523473797137,-0.07860523473797137,-5.998653842634103,0.0,0.0,-280.1026053795448,-228.1026053795448,-289.92933185283954,-289.92933185283954
body_right_dark,Lawf1,right,3,26,45,-0.42861998806592266,-0.42861275635620516,-7.231709717503421e-06,-7.231709717503421e-06,-0.0005518782995855708,0.0,0.0,-56.74484770033094,-4.7448477003309435,-6.2037650989161595,-6.2037650989161595
body_right_dark,Lawf2,left,0,27,39,0.5155000653531816,0.5148508318320468,0.0006492335211347733,0.0006492335211347733,0.04954539184704795,3.8461538461538463,3.8461538461538463,-48.84336422651242,3.1566357734875794,4.512590176019913,4.512590176019913
body_right_dark,Lawf2,right,0,27,42,0.42300636424786514,0.5148508318320468,-0.09184446758418169,-0.09184446758418169,-7.008988272029088,0.0,0.0,-304.0210941859654,-252.0210941859654,-320.01224190848217,-320.01224190848217
body_right_dark,Lawf2,left,1,35,33,0.43629823327064515,0.5614279552229813,-0.12512972195233613,-0.12512972195233613,-9.549108146795282,0.0,0.0,-399.288505785393,-347.288505785393,-440.96174760298294,-440.96174760298294
body_right_dark,Lawf2,right,1,35,42,0.5614257648587226,0.5614279552229813,-2.1903642586362793e-06,-2.1903642586362793e-06,-0.0001671547323869236,3.5714285714285716,3.5714285714285716,-49.419778278895784,2.580221721104216,3.7732715840850557,3.7732715840850557
body_right_dark,Lawf2,left,2,35,34,0.501579095955406,0.5015972412058285,-1.8145250422541004e-05,-1.8145250422541004e-05,-0.001384730629398573,1.7647058823529411,1.7647058823529411,-50.190599890316236,1.8094001096837644,2.581422835588455,2.581422835588455
body_right_dark,Lawf2,right,2,35,42,0.3740939248353243,0.5015972412058285,-0.12750331637050422,-0.12750331637050422,-9.730245844874323,0.0,0.0,-405.76282755533856,-353.76282755533856,-449.21280706496464,-449.21280706496464
body_right_dark,Lawf2,left,3,26,39,0.4404498360907802,0.5143273926984805,-0.07387755660770029,-0.07387755660770029,-5.637867380034962,0.0,0.0,-253.98651123046875,-201.98651123046875,-256.4039334028195,-256.4039334028195
body_right_dark,Lawf2,right,3,26,42,0.5143733268173841,0.5143273926984805,4.593411890363441e-05,4.593411890363441e-05,0.0035054011324794567,2.380952380952381,2.380952380952381,-49.62615567161923,2.3738443283807698,3.4181304971377053,3.4181304971377053
body_right_dark,Mi1,left,0,136,204,0.8879424392190927,0.8880531409864917,-0.00011070176739902404,-0.00011070176739902404,-0.008448058002856619,0.0,0.0,-58.94293508342668,-6.942935083426683,-8.919875805868822,-8.919875805868822
body_right_dark,Mi1,right,0,136,193,0.25006089543047194,0.8880531409864917,-0.6379922455560197,-0.6379922455560197,-48.6875288666576,0.0,0.0,-1859.995921713083,-1807.995921713083,-2296.073278871843,-2296.073278871843
body_right_dark,Mi1,left,1,225,189,-0.048195644948217604,0.9077036027444734,-0.955899247692691,-0.955899247692691,-72.9481785081785,0.0,0.0,-2749.8694700210813,-2697.8694700210813,-3426.113190827546,-3426.113190827546
body_right_dark,Mi1,right,1,225,204,0.9077042556471295,0.9077036027444734,6.529026561619133e-07,6.529026561619133e-07,4.982539700195991e-05,0.3431372549019608,0.3431372549019608,-60.605680091708315,-8.605680091708315,-11.022230444384702,-11.022230444384702
body_right_dark,Mi1,left,2,225,190,0.890079340868526,0.8900927339990934,-1.339313056736291e-05,-1.339313056736291e-05,-0.0010220789291021867,0.0,0.0,-69.62277976588199,-17.622779765881987,-22.472197189456537,-22.472197189456537
body_right_dark,Mi1,right,2,225,204,-0.07001989463965098,0.8900927339990934,-0.9601126286387444,-0.9601126286387444,-73.26971706584297,0.0,0.0,-2768.2412923177085,-2716.2412923177085,-3449.577398561964,-3449.577398561964
body_right_dark,Mi1,left,3,135,204,0.27984787652062043,0.91414706248928,-0.6342991859686595,-0.6342991859686595,-48.40569794078297,0.0,0.0,-1840.466470755783,-1788.466470755783,-2271.234847723269,-2271.234847723269
