condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz,student_raw_voltage_mv,student_delta_voltage_mv,student_raw_conductance,student_delta_conductance
body_left_dark,Tm9,left,3,135,188,-0.03930948138979686,-0.03930586679882792,-3.6145909689394573e-06,-3.6145909689394573e-06,-0.00027584269772436764,0.0,0.0,-55.00710424463799,-3.0071042446379934,-3.935635552365095,-3.935635552365095
body_left_dark,Tm9,right,3,135,179,0.21326579201338097,-0.03930586679882792,0.2525716588122089,0.2525716588122089,19.27466989602972,273.4078212290503,273.4078212290503,-51.113130899780955,0.8868691002190445,44.369576715224284,44.369576715224284
body_left_dark,TmY14,left,0,136,48,-0.7180702182008912,-1.0929593086886384,0.3748890904877472,0.3748890904877472,28.609161854326217,300.0,300.0,-51.318924268086754,0.6810757319132463,44.70329078038534,44.70329078038534
body_left_dark,TmY14,right,0,136,48,-1.0832731835201712,-1.0929593086886384,0.00968612516846723,0.00968612516846723,0.7391837471861531,2.5,2.5,-60.43606893221537,-8.43606893221537,-10.03946084777514,-10.03946084777514
body_left_dark,TmY14,left,1,225,45,-1.03599428496427,-1.0359383255077732,-5.595945649683465e-05,-5.595945649683465e-05,-0.004270471424268865,1.3333333333333333,1.3333333333333333,-59.91144163343642,-7.911441633436418,-9.862255195776621,-9.862255195776621
body_left_dark,TmY14,right,1,225,44,-0.37907268894163687,-1.0359383255077732,0.6568656365661363,0.6568656365661363,50.12782657563043,320.0,320.0,-51.36456498232755,0.6354350176724495,54.063269875266336,54.063269875266336
body_left_dark,TmY14,left,2,225,45,-0.45913501772926085,-0.9576374590396881,0.49850244131042726,0.49850244131042726,38.04255015709212,310.0,310.0,-51.328409830729164,0.6715901692708357,50.01489011976454,50.01489011976454
body_left_dark,TmY14,right,2,225,45,-0.9568111980540885,-0.9576374590396881,0.0008262609855995695,0.0008262609855995695,0.06305500712271538,2.2222222222222223,2.2222222222222223,-65.69232228597005,-13.69232228597005,-16.733240625758967,-16.733240625758967
body_left_dark,TmY14,left,3,135,47,-1.0932722504492158,-1.094580386923971,0.0013081364747551394,0.0013081364747551394,0.09982869356141129,14.46808510638298,14.46808510638298,-49.91807117867977,2.0819288213202327,4.54384194377889,4.54384194377889
body_left_dark,TmY14,right,3,135,48,-0.588803305371699,-1.094580386923971,0.505777081552272,0.505777081552272,38.5977046424898,310.0,310.0,-51.33022944132487,0.6697705586751326,50.13284715016683,50.13284715016683
body_left_dark,TmY15,left,0,136,23,0.44273105750749786,0.6684452553334481,-0.22571419782595026,-0.22571419782595026,-17.2250785159433,0.0,0.0,-688.9097210427989,-636.9097210427989,-808.8967179008152,-808.8967179008152
body_left_dark,TmY15,right,0,136,30,0.6720198561601779,0.6684452553334481,0.003574600826729779,0.003574600826729779,0.2727909032601284,5.0,5.0,-57.66873524983724,-5.6687352498372405,-6.0967761715253195,-6.0967761715253195
body_left_dark,TmY15,left,1,225,30,0.6558288420405652,0.655840539717012,-1.169767644670916e-05,-1.169767644670916e-05,-0.0008926926050262855,9.666666666666666,9.666666666666666,-52.507088851928714,-0.5070888519287138,0.7743079744279384,0.7743079744279384
body_left_dark,TmY15,right,1,225,29,0.24592264844318076,0.655840539717012,-0.40991789127383116,-0.40991789127383116,-31.2823381528101,0.0,0.0,-1195.2738626414332,-1143.2738626414332,-1451.5499309671336,-1451.5499309671336
body_left_dark,TmY15,left,2,225,30,0.3158011569801925,0.6637111741469967,-0.34791001716680414,-0.34791001716680414,-26.550289790819686,0.0,0.0,-1028.3587707519532,-976.3587707519532,-1240.0036865234374,-1240.0036865234374
body_left_dark,TmY15,right,2,225,30,0.6640971044202646,0.6637111741469967,0.0003859302732679426,0.0003859302732679426,0.02945175501917622,0.0,0.0,-63.53110542297363,-11.531105422973631,-14.399310666322709,-14.399310666322709
body_left_dark,TmY15,left,3,135,23,0.693401890165276,0.6933875048050174,1.4385360258550861e-05,1.4385360258550861e-05,0.0010977996170393354,32.608695652173914,32.608695652173914,-50.33164795585301,1.6683520441469923,6.784382836974186,6.784382836974186
body_left_dark,TmY15,right,3,135,30,0.3676586190125413,0.6933875048050174,-0.3257288857924761,-0.3257288857924761,-24.857566279515044,0.0,0.0,-963.3841003417969,-911.3841003417969,-1157.0898030598958,-1157.0898030598958
body_left_dark,TmY18,left,0,136,145,1.2484995238482952,1.807498960481847,-0.5589994366335518,-0.5589994366335518,-42.65929781610743,0.0,0.0,-1619.0797093884698,-1567.0797093884698,-1990.0036242254848,-1990.0036242254848
body_left_dark,TmY18,right,0,136,149,1.8086670310619999,1.807498960481847,0.0011680705801528912,0.0011680705801528912,0.0891397512832212,0.0,0.0,-51.28022330879365,0.7197766912063486,0.8829922202049486,0.8829922202049486
body_left_dark,TmY18,left,1,225,140,1.8542022509707345,1.8541690012481478,3.324972258678116e-05,3.324972258678116e-05,0.0025374083141738125,0.0,0.0,-55.09276346479143,-3.0927634647914317,-3.9959091011833934,-3.9959091011833934
body_left_dark,TmY18,right,1,225,130,1.063676164365477,1.8541690012481478,-0.7904928368826707,-0.7904928368826707,-60.32540847117816,0.0,0.0,-2270.179396409255,-2218.179396409255,-2816.8285287710337,-2816.8285287710337
body_left_dark,TmY18,left,2,225,140,0.9759541557894813,1.7843749788734649,-0.8084208230839836,-0.8084208230839836,-61.693558870775476,0.0,0.0,-2317.8763253348216,-2265.8763253348216,-2877.378731863839,-2877.378731863839
body_left_dark,TmY18,right,2,225,131,1.7844363545709185,1.7843749788734649,6.137569745368054e-05,6.137569745368054e-05,0.004683804642300985,0.0,0.0,-54.26048552534962,-2.2604855253496225,-2.875890056026801,-2.875890056026801
body_left_dark,TmY18,left,3,135,144,1.7848296645614836,1.7842913380375616,0.0005383265239220503,0.0005383265239220503,0.04108167200417937,0.0,0.0,-52.929648982154,-0.9296489821539993,-1.2162126047640212,-1.2162126047640212
body_left_dark,TmY18,right,3,135,149,1.2860195562795356,1.7842913380375616,-0.498271781758026,-0.498271781758026,-38.02494768042546,0.0,0.0,-1452.4694217963506,-1400.4694217963506,-1778.4405034212457,-1778.4405034212457
