root_id,region,entry_nerve,exit_nerve,flow,super_class,cell_class,cell_type,side
802610,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN12A019_c,L
802619,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A022,R
802621,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A022,L
802634,T2,,,intrinsic,interneuron,premotor_candidate,IN04B027,R
802637,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A061,L
802640,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN03A013,L
802643,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A012,R
802660,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN12A016,L
802663,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN14B006,L
802668,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN06B033,R
802669,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B033,L
802670,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN14A011,R
802675,T2,,,intrinsic,interneuron,IR|premotor_candidate,INXXX468,L
802676,T3,,,intrinsic,interneuron,premotor_candidate,IN09A057,R
