root_id,region,entry_nerve,exit_nerve,flow,super_class,cell_class,cell_type,side
801382,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN09A002,R
801384,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN03B036,R
801385,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN18B005,R
801386,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A003,R
801389,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN09B006,R
801411,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A020,L
801412,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN13A014,L
801420,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B030,R
801421,T3,,,intrinsic,interneuron,II|premotor_candidate,IN03A001,R
801422,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A008,L
801425,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN21A028,L
801426,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B011,L
801429,T3,,,intrinsic,interneuron,IR|premotor_candidate,INXXX466,R
801431,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN14B003,R
801432,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN12B005,L
801433,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN13A005,R
801435,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN19A024,L
801437,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN08A006,R
801442,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN19B016,L
801443,T1,,,intrinsic,interneuron,II|premotor_candidate,IN03B016,L
801446,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A019,L
801449,T1,,,intrinsic,interneuron,CI|premotor_candidate,IN01A010,L
801453,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A010,L
801457,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03B035,L
801467,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A015,R
801471,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A053,R
801477,T2,,MesoLN,efferent,motor,ml,MNml81,R
801478,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN12B005,R
801483,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A031,L
801485,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B029,L
801486,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN14A011,L
801487,T2,,,intrinsic,interneuron,II|premotor_candidate,IN03B028,L
801492,T3,,MetaLN,efferent,motor,hl,Sternal posterior rotator MN,L
801493,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN13A014,L
801494,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN12B012,R
801495,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A015,L
801497,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A016,R
801502,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN01A005,L
801503,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B024,R
801510,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A007,R
801516,T3,,,intrinsic,interneuron,II|premotor_candidate,IN19A034,R
801524,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03A014,L
801526,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A022,L
801535,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A002,L
801538,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN19B016,R
801542,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN13B011,L
801547,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A018,L
801548,T3,,MetaLN,efferent,motor,hl,Sternal anterior rotator MN,L
801552,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A016,R
801554,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B022,L
801562,MX,,,efferent,descending,ut,DNge088,R
801564,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A014,R
801565,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A006,R
801568,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN19A024,L
801574,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B013,L
801575,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B018,R
801576,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN07B012,R
801579,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN01A038,R
801580,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A011,R
801581,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B031,R
801584,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A008,R
801593,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B008,L
801598,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN03B019,L
801604,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN04B025,L
