supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,candidate_label,brain_index,from_relays
80366672531615635,720575940628844712,141655,89697,3377,132904.0,92608.0,3914.0,5435141.0,efferent,descending,,,DNg44,,MX12__prim,MX12__prim,MX12__prim__0,glutamate,0.6260812404164173,,,right,CV,fw039186,FBbt_00047516,,DNg44,90546,0.0
78959297648204502,720575940624319124,121229,88949,3501,114379.0,88494.0,4193.0,,efferent,descending,,,DNg62,,MX12__prim,MX12__prim,MX12__prim__3,acetylcholine,0.5557755620895425,,,left,CV,fw039180,FBbt_00047516,,DNg62,65709,0.0
80366741251080393,720575940627285267,141938,89751,3380,134480.0,92352.0,4372.0,5455878.0,efferent,descending,,,DNge174,,MX12__prim,MX12__prim,MX12__prim__0,acetylcholine,0.7510758220513146,,,right,CV,fw039179,FBbt_00051861,,DNge174,81527,0.0
80296303787435433,720575940630808827,140983,89448,3380,142864.0,92024.0,3720.0,6132210.0,efferent,descending,,,DNg68,,MX12__prim,MX12__prim,MX12__prim__3,acetylcholine,0.6155575129890666,,,right,CV,fw039178,FBbt_00047516,,DNg68,100673,0.0
80366672531614023,720575940630244060,141394,89623,3380,138112.0,92272.0,3826.0,5443554.0,efferent,descending,,,DNg33,,MX12__prim,MX12__prim,,acetylcholine,0.517222659013021,,,right,CV,fw039174,FBbt_00047625,,DNg33,97651,0.0
81070085162741436,720575940631662648,151511,85442,4025,149682.0,90075.0,2262.0,,efferent,descending,,,DNge106,,MX12,MX12,MX12__0,acetylcholine,0.7456941780722256,,,right,CV,fw039158,FBbt_00047516,,DNge106,105062,0.0
80296303787247491,720575940623781611,140275,89186,3254,147712.0,91400.0,2838.0,6112411.0,efferent,descending,,,DNge105,,MX12,MX12,MX12__0,acetylcholine,0.6851081255129401,,,right,CV,fw039169,FBbt_00047516,,DNge105,62549,0.0
80436972623156335,720575940645032068,143110,88433,3703,151449.0,88985.0,2340.0,,efferent,descending,,,DNge024,,MX12,MX12,MX12__0,acetylcholine,0.5294115160352093,,,right,CV,fw039168,FBbt_00047516,,DNge024,133829,0.0
80225935043080674,720575940608735241,140097,89215,3254,139584.0,92528.0,3405.0,5446665.0,efferent,descending,,,DNg38,,putative_primary,putative_primary,,gaba,0.4148544243959587,,,right,CV,fw039166,FBbt_00047630,,DNg38,6365,0.0
80225935042918354,720575940622478349,140182,89368,3137,151117.0,89700.0,2131.0,,efferent,descending,,,DNge024,,MX12,MX12,MX12__0,acetylcholine,0.7741810001186137,,,right,CV,fw039162,FBbt_00047516,,DNge024,55297,0.0
