condition,cell_type,teacher_right_minus_left,student_right_minus_left
body_center_dark,T4d,0.0,0.9775818186492531
body_center_dark,T5a,0.0,-0.5638522619654687
body_center_dark,T5b,0.0,1.5031267529553531
body_center_dark,T5c,0.0,1.35339066280212
body_center_dark,T5d,0.0,-1.9106658240083263
body_center_dark,Tm1,0.0,-0.6402867195876394
body_center_dark,Tm16,0.0,2.904761904761905
body_center_dark,Tm2,0.0,-0.21295368300225448
body_center_dark,Tm20,0.0,1.255223322439556
body_center_dark,Tm3,0.0,0.0
body_center_dark,Tm4,0.0,-0.28375769168305753
body_center_dark,Tm5Y,0.0,-0.7113665467780179
body_center_dark,Tm5a,0.0,-2.6161354699756956
body_center_dark,Tm5c,0.0,-0.8379493863364829
body_center_dark,Tm9,0.0,-3.0899470899470884
body_center_dark,TmY14,0.0,-8.108108108108109
body_center_dark,TmY15,0.0,0.0
body_center_dark,TmY18,0.0,0.0
body_center_dark,TmY3,0.0,-2.982026143790849
body_center_dark,TmY4,0.0,1.0724126529262676
body_center_dark,TmY5a,0.0,0.33836791274411304
body_center_dark,TmY9,0.0,0.0
body_right_dark,Am,-0.00014433924020940125,0.8967560823455969
body_right_dark,C2,0.0,0.0
body_right_dark,C3,-0.00014897945612130092,0.0
body_right_dark,L1,-8.405164277025534e-06,-0.6074826330397372
body_right_dark,L2,3.015848287413192e-05,1.335078534031414
body_right_dark,L3,-0.0005324081936229352,1.3992869875222818
body_right_dark,L4,0.00026020773488832916,-0.43685741918394416
body_right_dark,L5,0.0,0.06361323155216285
body_right_dark,Lawf1,0.0,0.0
body_right_dark,Lawf2,0.0,0.0
body_right_dark,Mi1,0.0,0.0
body_right_dark,Mi10,0.0,0.0
body_right_dark,Mi13,0.0,0.0
body_right_dark,Mi14,0.0,0.0
body_right_dark,Mi15,0.0,0.0
body_right_dark,Mi2,0.0,0.0
body_right_dark,Mi4,0.0,0.0
body_right_dark,Mi9,-0.002819436148581378,1.4397745972684106
body_right_dark,R7,0.0,0.0
body_right_dark,R8,0.0,0.0
body_right_dark,T1,3.605246015575547e-05,-0.28042245460694204
body_right_dark,T2,0.0,0.0
body_right_dark,T2a,0.0,0.0
body_right_dark,T3,0.0,0.0
body_right_dark,T4a,0.0,0.0
body_right_dark,T4b,0.0,0.0
body_right_dark,T4c,0.0,0.0
body_right_dark,T4d,-0.0006284197989719353,0.32280767154279255
body_right_dark,T5a,-0.04710527812711515,-5.092518394405188
body_right_dark,T5b,0.0027588121777458174,1.1833530703121227
body_right_dark,T5c,-0.015615025934298532,-0.4658161920959252
body_right_dark,T5d,-0.02236436482350948,-4.48436744860404
body_right_dark,Tm1,0.0006299165365558634,-0.31737482444969034
body_right_dark,Tm16,0.0006926504018504864,1.8333333333333321
body_right_dark,Tm2,-0.009501343395854178,-1.1350105791552103
body_right_dark,Tm20,-0.0017355665895214534,0.981523936501743
body_right_dark,Tm3,0.0,0.0
body_right_dark,Tm4,-0.003789942542372726,-0.830611545193713
body_right_dark,Tm5Y,-0.00035862393945906845,-0.4656663010777722
body_right_dark,Tm5a,-0.0023825548578896016,-3.350194629413739
body_right_dark,Tm5c,-0.002877614256149519,-0.802650157488868
body_right_dark,Tm9,-0.0018837360590389096,-3.503174603174603
body_right_dark,TmY14,-0.07526480282114978,-12.432432432432432
body_right_dark,TmY15,0.0,0.0
body_right_dark,TmY18,0.0,0.0
body_right_dark,TmY3,-0.0009885994293152844,-3.301396316102199
body_right_dark,TmY4,0.016096054500850526,3.10812300231456
body_right_dark,TmY5a,-0.007612652682758125,-0.4229122871157429
body_right_dark,TmY9,0.0,0.0
