family,target_super_class,target_n_roots,target_sampled_fraction,target_mean_selected_frames,target_mean_spike_frames,target_corr_target_bearing_voltage,target_corr_target_bearing_asymmetry,target_corr_forward_speed_voltage,target_corr_turn_drive_asymmetry,target_mean_spike_per_frame,target_mean_voltage_mv,no_target_super_class,no_target_n_roots,no_target_sampled_fraction,no_target_mean_selected_frames,no_target_mean_spike_frames,no_target_corr_target_bearing_voltage,no_target_corr_target_bearing_asymmetry,no_target_corr_forward_speed_voltage,no_target_corr_turn_drive_asymmetry,no_target_mean_spike_per_frame,no_target_mean_voltage_mv,target_minus_no_target_mean_spike_frames,target_minus_no_target_mean_selected_frames
M_l2PNl20,central,2,0.0,5.0,5.0,-0.12586815048108183,-0.1737263888462229,0.06576725249187647,-0.09496125654408118,0.025,-50.93015670776367,central,2,0.0,3.5,3.5,,,0.06691024481131258,0.054630856292254545,0.0175,-50.99406433105469,1.5,1.5
LHAV6b4,central,2,0.0,5.0,5.0,-0.13573475935532617,0.002923452297548795,-0.09483705734598634,0.062130083654173406,0.025,-50.62882995605469,central,2,0.0,3.0,3.0,,,0.08416650534571334,-0.08001689690805752,0.015,-50.625938415527344,2.0,2.0
DNb05,descending,2,0.0,5.0,5.0,-0.10234767259449505,0.03152239698499413,-0.07290800725839426,0.09262082938995378,0.025,-50.89437484741211,descending,2,0.0,2.5,2.5,,,-0.036214530845926816,-0.04737894168218897,0.0125,-50.74421691894531,2.5,2.5
LN60b,central,2,0.0,5.0,5.0,-0.23439853358415855,-0.02268292830645367,0.05418504261615316,0.0098645292987137,0.025,-50.33867263793945,central,2,0.0,2.0,2.0,,,0.1250847862463446,0.026496163315082158,0.01,-50.40671920776367,3.0,3.0
MZ_lv2PN,central,2,0.0,5.0,5.0,-0.26873025449856563,0.009638601833825583,0.1596361325982173,0.027048330114904446,0.025,-50.645938873291016,central,2,0.0,2.0,2.0,,,-0.022530540268886096,0.10971375381202932,0.01,-50.65367126464844,3.0,3.0
SIP029,central,2,0.0,5.0,5.0,-0.284192727705112,0.09038820959189017,-0.0579326567968503,0.04955749412878806,0.025,-50.10695266723633,central,2,0.0,1.5,1.5,,,-0.08378157800198106,0.009220652205337226,0.0075,-50.22273254394531,3.5,3.5
lLN1_bc,central,30,0.0,4.933333333333334,4.9,-0.30091508624760854,-0.018403607523508444,0.04851071312457369,-0.04486464465110591,0.0245,-51.277137756347656,central,30,0.0,5.266666666666667,5.233333333333333,,,0.006678179817508061,-0.08310545250983332,0.026166666666666668,-51.27387619018555,-0.33333333333333304,-0.33333333333333304
lLN2P_c,central,9,0.0,4.777777777777778,4.777777777777778,-0.18323058929081415,0.14768429284906032,0.07405810298448318,0.09913004649018836,0.02388888888888889,-51.106407165527344,central,9,0.0,3.111111111111111,3.111111111111111,,,0.08356466185962169,-0.05561338138690636,0.015555555555555555,-51.19921875,1.6666666666666665,1.6666666666666665
lLN1_a,central,3,0.0,5.0,4.666666666666667,-0.2364820838988542,0.0506916435321563,0.05288580801949733,-0.08160101769059531,0.02333333333333333,-51.330780029296875,central,3,0.0,7.666666666666667,7.333333333333333,,,-0.04288102489169203,-0.023243788762924596,0.03666666666666667,-51.394893646240234,-2.666666666666666,-2.666666666666667
DP1m_adPN,central,2,0.0,4.5,4.5,-0.13952974744719893,0.08693379472524534,0.007082582831731305,0.04207386040834517,0.0225,-51.29109191894531,central,2,0.0,6.5,6.5,,,-0.0018657022684830005,-0.02151837307743956,0.0325,-51.36054611206055,-2.0,-2.0
VA6_adPN,central,2,0.0,4.5,4.5,-0.05811917676541509,0.0004460207998845553,0.13637791903351892,-0.04916358078528948,0.0225,-50.96828079223633,central,2,0.0,5.0,5.0,,,-0.015521181215896136,-0.007223713341549077,0.025,-51.055545806884766,-0.5,-0.5
lLN2X11,central,4,0.0,4.5,4.5,-0.3140875225731145,0.21799309315962642,0.10047013611809043,-0.02320552055207147,0.0225,-51.3064079284668,central,4,0.0,4.75,4.75,,,0.039034119066979706,-0.17710714861315224,0.02375,-51.356327056884766,-0.25,-0.25
lLN2F_a,central,4,0.0,4.75,4.5,-0.3069298400079665,0.0711584830290853,0.13579638694941695,0.06352035523296858,0.0225,-52.26921844482422,central,4,0.0,4.75,4.5,,,0.052151008547224716,-0.12738748271524897,0.0225,-52.32894515991211,0.0,0.0
VP1d+VP4_l2PN2,central,2,0.0,4.5,4.5,-0.12018147474772249,0.09471481611739721,0.0618090217400718,0.027852031793096456,0.0225,-51.02992248535156,central,2,0.0,4.0,4.0,,,0.015039065110227505,-0.04567233704879412,0.02,-50.987892150878906,0.5,0.5
DM1_lPN,central,2,0.0,4.5,4.5,-0.19288294460737343,-0.05513895433663206,0.0030500540773831727,-0.056421110699160185,0.0225,-51.00257873535156,central,2,0.0,3.0,3.0,,,-0.025822065285604504,-0.09905000497730165,0.015,-51.0881233215332,1.5,1.5
LT33,optic,2,0.0,5.0,4.5,-0.13393212598545629,0.10714973846380295,-0.03215706948102467,0.04965456216091822,0.0225,-51.520233154296875,optic,2,0.0,6.0,3.0,,,-0.16019409897746573,-0.12426934230977471,0.015,-53.929298400878906,1.5,-1.0
VP1d+VP4_l2PN1,central,2,0.0,4.5,4.5,-0.2117221158002731,0.007715745016766864,0.1082199593632964,0.047429281833867076,0.0225,-50.98640441894531,central,2,0.0,3.0,3.0,,,-0.022670749425303827,-0.10083173642522182,0.015,-50.947967529296875,1.5,1.5
lLN2X10,central,4,0.0,4.5,4.5,-0.23288521439509535,0.17717679401419972,0.021679382655242854,0.018175486854287024,0.0225,-51.028045654296875,central,4,0.0,2.75,2.75,,,0.0006654749648773767,-0.11610155459275516,0.01375,-51.013126373291016,1.75,1.75
CL063,central,2,0.0,4.5,4.5,0.16406416876529173,-0.10668351248475473,-0.10175014128372055,-0.10487634924027549,0.0225,-50.580623626708984,central,2,0.0,2.5,2.5,,,-0.08573124196127176,-0.00534195519318219,0.0125,-50.67789077758789,2.0,2.0
LHAD1f2,central,2,0.0,4.5,4.5,-0.08219856214564338,-0.03827686718837735,-0.0456515718215896,0.07196007365313868,0.0225,-51.07570266723633,central,2,0.0,2.5,2.5,,,0.06261418031761878,-0.027892689017746754,0.0125,-50.99797058105469,2.0,2.0
OA-VUMa2,central,2,0.0,4.5,4.5,-0.1254532843221876,,0.019255226334960105,,0.0225,-50.64468765258789,central,2,0.0,2.0,2.0,,,0.07226783825085661,,0.01,-50.86343765258789,2.5,2.5
CB1793,central,2,0.0,4.5,4.5,-0.0767360340490448,0.06780408234095656,0.03592033554070504,0.08125329058350363,0.0225,-50.4431266784668,central,2,0.0,1.5,1.5,,,-0.04352150785203724,-0.053346576780297264,0.0075,-50.3576545715332,3.0,3.0
CB2880,central,2,0.0,4.5,4.5,-0.11736240748083168,-0.03810977801468279,-0.11030550162556695,-0.02595686251288509,0.0225,-50.505157470703125,central,2,0.0,1.5,1.5,,,-0.003674689354561123,0.03987304735657328,0.0075,-50.483123779296875,3.0,3.0
VL1_vPN,central,2,0.0,4.5,4.5,-0.21771615908665576,-0.10734632516430793,0.0491104051622338,-0.14247014142796546,0.0225,-50.6286735534668,central,2,0.0,1.5,1.5,,,0.12999823585195242,-0.06502741456510228,0.0075,-50.83586120605469,3.0,3.0
LHCENT3,central,2,0.0,5.0,4.5,-0.1768068440306865,0.02050171622765384,-0.016049635043610597,-0.01644340427552637,0.0225,-50.6286735534668,central,2,0.0,1.5,1.0,,,-0.0976349380597828,0.04803598731462433,0.005,-50.56265640258789,3.5,3.5
lLN2T_b,central,4,0.0,4.25,4.25,-0.2697650521868316,0.09795716574825039,0.1156212341780635,0.04254654490829507,0.02125,-51.29769515991211,central,4,0.0,4.25,4.25,,,0.02057219421573212,-0.10598815863086018,0.02125,-51.41859436035156,0.0,0.0
"vLN28,vLN29",central,4,0.0,4.25,4.25,-0.21433162252633867,0.02319970320335605,0.06280045857691165,0.018467859247607066,0.02125,-50.57695388793945,central,4,0.0,3.75,3.75,,,-0.008167867364821332,-0.1383857923253629,0.01875,-50.708946228027344,0.5,0.5
VM6_adPN,central,2,0.0,4.0,4.0,-0.04805142758310301,-0.005088666402618403,0.1156516658660498,-0.0498739856962947,0.02,-51.0939826965332,central,2,0.0,8.0,8.0,,,-0.024874565696262035,0.025085948103995722,0.04,-51.204376220703125,-4.0,-4.0
DPM,central,2,0.0,4.0,4.0,-0.15818900969580832,0.020702242022302548,0.12205324314365178,0.010067806395372811,0.02,-51.67367172241211,central,2,0.0,6.5,6.5,,,-0.03614805693385217,-0.05738689211929896,0.0325,-51.82210922241211,-2.5,-2.5
MBON11,central,2,0.0,4.0,4.0,-0.13274919732166165,0.08568872542752734,0.029098367661108668,0.1213949262304898,0.02,-51.180076599121094,central,2,0.0,6.0,6.0,,,0.055227523752162146,0.004835216973982267,0.03,-51.19351577758789,-2.0,-2.0
VL2a_adPN,central,2,0.0,4.0,4.0,-0.16257746720940436,-0.027846715094893025,0.004293079758632138,0.0021186959589889645,0.02,-50.997501373291016,central,2,0.0,4.5,4.5,,,-0.03715570947987879,0.0532726364717995,0.0225,-51.047889709472656,-0.5,-0.5
DM2_lPN,central,4,0.0,4.0,4.0,-0.2667885340092737,-0.08251732200539015,0.12739260547245754,-0.06085803577727102,0.02,-50.512969970703125,central,4,0.0,3.75,3.75,,,0.04319380409646058,0.04016284730565802,0.01875,-50.57695388793945,0.25,0.25
M_l2PNl23,central,2,0.0,4.0,4.0,-0.2177778299423754,-0.13198478135594693,0.12286604780673459,-0.21313647960055948,0.02,-51.030391693115234,central,2,0.0,3.5,3.5,,,-0.10387637310096226,-0.08087093699359493,0.0175,-51.021873474121094,0.5,0.5
mALC2,optic,2,0.0,4.0,4.0,-0.09618484633384354,0.13819575314310875,0.004840038995491609,0.1876144899046975,0.02,-51.8203125,optic,2,0.0,3.5,3.5,,,0.04641274976939129,0.017212570171363465,0.0175,-52.606483459472656,0.5,0.5
v2LN30,central,2,0.0,4.0,4.0,0.07841640889342537,-0.10924211397293494,-0.07008919685972718,0.011962106021516384,0.02,-51.26023483276367,central,2,0.0,3.5,3.5,,,-0.009761653934801554,0.034470001489866134,0.0175,-51.25164031982422,0.5,0.5
AVLP088,central,2,0.0,4.0,4.0,0.1971137227037299,0.3514168767933371,-0.0957534565067756,0.29434133115522565,0.02,-52.51171875,central,2,0.0,3.0,3.0,,,-0.09700659723682468,-0.030656178438792682,0.015,-52.086952209472656,1.0,1.0
LPT50,visual_projection,2,0.0,4.0,4.0,0.052101254921860095,0.06286982563870257,0.031243619404358255,0.13506427931550619,0.02,-50.635780334472656,visual_projection,2,0.0,3.0,3.0,,,0.026438044445360843,0.154108398800693,0.015,-50.5412483215332,1.0,1.0
PVLP024,central,4,0.0,4.5,4.0,-0.014486073192000445,-0.04153196297495008,-0.0022942672798767654,-0.15408073876010012,0.02,-50.2392578125,central,4,0.0,3.0,2.5,,,0.14201005533367775,0.01364017100924961,0.0125,-49.952735900878906,1.5,1.5
LHAV1a1,central,6,0.0,4.166666666666667,4.0,-0.2763883379954844,-0.09088346508585947,0.056822942846959865,-0.05267045012860982,0.019999999999999997,-50.67778396606445,central,6,0.0,2.5,2.3333333333333335,,,-0.03683087736204669,0.07963958300180528,0.011666666666666665,-50.61403274536133,1.6666666666666665,1.666666666666667
ALON1,central,2,0.0,4.0,4.0,-0.4527486753116581,0.3042115451482681,0.18373536342278013,0.28252170453334796,0.02,-49.822811126708984,central,2,0.0,2.0,2.0,,,-0.05252857548995636,-0.05209447181621245,0.01,-49.98429870605469,2.0,2.0
M_vPNml68,central,2,0.0,4.0,4.0,-0.25764566235372005,0.0558310798347708,0.11260582928175036,0.0452546074829019,0.02,-50.3478889465332,central,2,0.0,2.0,2.0,,,0.062001208057565343,-0.06962139419939938,0.01,-50.356327056884766,2.0,2.0
MBON12,central,4,0.0,4.25,4.0,-0.2577047025504334,-0.028696887426952124,0.030409540529936156,-0.019509506816726578,0.02,-50.606483459472656,central,4,0.0,2.0,1.75,,,-0.006899385677405132,0.05584872697462239,0.00875,-50.493282318115234,2.25,2.25
CB3597,central,2,0.0,4.5,4.0,-0.19733796350964705,-0.0798758550319443,0.07474360912780187,-0.025426087290789635,0.02,-50.197811126708984,central,2,0.0,2.0,1.5,,,-0.06608632902877491,0.0325126097819941,0.0075,-50.09296798706055,2.5,2.5
DNge037,descending,2,0.0,4.0,4.0,-0.34586350318005255,0.20697743576306218,0.08546094990210161,0.03946380788506747,0.02,-51.517967224121094,descending,2,0.0,1.0,1.0,,,-0.011764035655204565,-0.2520869098075608,0.005,-51.170623779296875,3.0,3.0
LHPV4a7a,central,2,0.0,4.0,4.0,-0.268301293982979,-0.028931757844522985,-0.03475988614232153,-0.06314555985561392,0.02,-49.97398376464844,central,2,0.0,1.0,1.0,,,0.16045694599181204,-0.0017083754775929017,0.005,-49.96617126464844,3.0,3.0
SLP057,central,2,0.0,4.0,4.0,-0.055368918153921726,0.01283889276738285,0.06401731235972659,0.017962483377189243,0.02,-50.414920806884766,central,2,0.0,1.0,1.0,,,0.03530940002823091,0.12996095176046296,0.005,-50.606170654296875,3.0,3.0
VP1d_il2PN,central,2,0.0,4.0,4.0,-0.05777154421026254,-0.11692816217918799,-0.08942615207273798,-0.20033639594846342,0.02,-51.321876525878906,central,2,0.0,1.0,1.0,,,0.04392176808983428,-0.010287875743811669,0.005,-51.44414138793945,3.0,3.0
lLN2P_a,central,13,0.0,3.923076923076923,3.923076923076923,-0.1296811221017546,0.04164083700734619,0.02272992093100753,0.05835376357979559,0.019615384615384618,-51.05213928222656,central,13,0.0,3.769230769230769,3.769230769230769,,,0.09003203950052323,0.047441365862673175,0.01884615384615385,-51.060791015625,0.15384615384615374,0.15384615384615374
lLN2X12,central,13,0.0,3.769230769230769,3.769230769230769,-0.4303345566445947,0.2149443496935462,0.13299270517004722,-0.060741598193593385,0.018846153846153846,-51.144004821777344,central,13,0.0,5.6923076923076925,5.6923076923076925,,,-0.014449428639832103,-0.3066858825176469,0.02846153846153846,-51.22249984741211,-1.9230769230769234,-1.9230769230769234
MBON09,central,4,0.0,3.75,3.75,-0.1862832939242132,0.00504493423076399,0.12538032166931182,-0.028217710946010065,0.01875,-50.958126068115234,central,4,0.0,6.0,6.0,,,0.018150722667260467,-0.08641981301458755,0.03,-50.952423095703125,-2.25,-2.25
M_lvPNm26,central,3,0.0,3.6666666666666665,3.6666666666666665,-0.2222340304861538,-0.018762009012706686,0.03986404820212395,-0.010700942130500851,0.018333333333333333,-50.38593673706055,central,3,0.0,2.6666666666666665,2.6666666666666665,,,-0.003271489449687381,-0.03462774564708123,0.013333333333333332,-50.39479446411133,1.0,1.0
lLN2P_b,central,12,0.0,3.5833333333333335,3.5833333333333335,-0.10695354075848622,0.047029979409541074,-0.09952454738980573,-0.008752009415784337,0.017916666666666664,-51.052146911621094,central,12,0.0,3.75,3.75,,,-0.04257870983165495,0.021855281773465393,0.01875,-51.02996063232422,-0.16666666666666652,-0.16666666666666652
LHPD5c1,central,2,0.0,3.5,3.5,-0.02103203680667912,-0.11769834582421951,0.032233596933759504,-0.16901772653049782,0.0175,-50.96468734741211,central,2,0.0,6.5,6.5,,,0.03733325906924125,-0.04872304335205851,0.0325,-50.959999084472656,-3.0,-3.0
LHCENT1,central,2,0.0,3.5,3.5,0.04533880793802521,0.1651360317433853,0.04187862799622491,0.04803038820363393,0.0175,-50.7400016784668,central,2,0.0,5.5,5.5,,,-0.010764275255538431,-0.08335199789830428,0.0275,-50.997344970703125,-2.0,-2.0
PPL101,central,2,0.0,3.5,3.5,-0.22019514562738757,-0.09782577106566516,-0.12115277389703398,-0.14873769784681956,0.0175,-50.837345123291016,central,2,0.0,5.0,5.0,,,-0.03217648951342441,0.04782291513559522,0.025,-51.066017150878906,-1.5,-1.5
lLN10,central,2,0.0,3.5,3.5,-0.1798591698245416,-0.037015563856262305,0.13552050195423587,-0.06325181540123966,0.0175,-50.602264404296875,central,2,0.0,5.0,5.0,,,-0.006347025354132209,-0.03501450388139477,0.025,-50.499610900878906,-1.5,-1.5
DA1_vPN,central,2,0.0,3.5,3.5,0.034138623224985676,-0.04168937409515218,0.05683766537042216,0.006320374128650265,0.0175,-50.188438415527344,central,2,0.0,4.0,4.0,,,0.03699966134635203,0.011799396747757308,0.02,-50.463748931884766,-0.5,-0.5
SIP087,central,2,0.0,3.5,3.5,-0.09683570441572449,0.0630413331307375,0.004238089929719167,0.05327858855527685,0.0175,-50.78351593017578,central,2,0.0,4.0,4.0,,,0.03344330789516039,0.03464009692145915,0.02,-50.986873626708984,-0.5,-0.5
v2LNX01,central,2,0.0,3.5,3.5,-0.2218262248592908,0.07467420234226599,0.10825200527283908,0.048053775802752906,0.0175,-49.96953201293945,central,2,0.0,4.0,4.0,,,0.028856338357840662,0.18985226730149318,0.02,-50.104373931884766,-0.5,-0.5
DNp04,descending,2,0.0,3.5,3.5,-0.03352179837603865,-0.09886306804831625,0.10690037227079392,-0.0017494072078135259,0.0175,-50.227264404296875,descending,2,0.0,3.5,3.5,,,0.055234119783866734,0.007808228551210534,0.0175,-50.264686584472656,0.0,0.0
LHAV5e1,central,2,0.0,3.5,3.5,-0.1575597647779652,-0.019386202235889625,0.021561417211006104,0.06539089543539149,0.0175,-49.86976623535156,central,2,0.0,3.5,3.5,,,-0.05927063494298586,0.017624256185444595,0.0175,-49.94414138793945,0.0,0.0
M_l2PNl21,central,2,0.0,3.5,3.5,-0.2196416546128243,-0.005486605387440952,-0.015032247412019152,-0.0019026200801544003,0.0175,-50.790313720703125,central,2,0.0,3.5,3.5,,,-0.06573914283648342,0.039992258400378976,0.0175,-50.70750045776367,0.0,0.0
VP1m+VP5_ilPN,central,2,0.0,3.5,3.5,-0.15396464883881456,0.045380810569705374,0.003334365279712828,0.02640683199168992,0.0175,-50.34562683105469,central,2,0.0,3.5,3.5,,,-0.008145423001995012,-0.057074322711164145,0.0175,-50.450469970703125,0.0,0.0
LHAV3d1,central,2,0.0,3.5,3.5,-0.30499314261352833,-0.09142784574794743,-0.0044762562826103315,-0.09632682891876974,0.0175,-50.23046875,central,2,0.0,3.0,3.0,,,0.03325749761424432,-0.06318371958187016,0.015,-50.14890670776367,0.5,0.5
VP1l+VP3_ilPN,central,2,0.0,3.5,3.5,-0.16611592415034668,0.06532242580475016,0.0672048225983322,0.10675039537853177,0.0175,-50.458282470703125,central,2,0.0,3.0,3.0,,,-0.04089033378761451,-0.007112491639147588,0.015,-50.75406265258789,0.5,0.5
SMP177,central,2,0.0,3.5,3.5,-0.15915228005514445,0.10557301900449098,0.03270480690443542,0.08490111035678478,0.0175,-50.74687576293945,central,2,0.0,2.5,2.5,,,-0.0701429174916932,-0.0726617478109227,0.0125,-50.7400016784668,1.0,1.0
VP1m_l2PN,central,2,0.0,3.5,3.5,-0.27749197719316876,-0.05276668272242539,0.02744621878769501,-0.07234096582171524,0.0175,-50.922969818115234,central,2,0.0,2.5,2.5,,,-0.07067833065992725,-0.004582246251419549,0.0125,-51.06671905517578,1.0,1.0
CB3326,central,4,0.0,3.5,3.5,-0.14015557027773837,-0.00028027156281099894,0.01581492980369919,0.002986615513414213,0.0175,-50.446170806884766,central,4,0.0,2.25,2.25,,,-0.06409140717072465,-0.023174382861109913,0.01125,-50.407108306884766,1.25,1.25
DA4m_adPN,central,2,0.0,3.5,3.5,-0.14279008032982488,0.06483766199804453,-0.005636702538726579,-0.018331442838823146,0.0175,-50.977264404296875,central,2,0.0,2.0,2.0,,,-0.04887361806421412,0.1061889017462989,0.01,-51.111328125,1.5,1.5
MBON24,central,2,0.0,3.5,3.5,0.10183846635424362,0.1724245021584059,0.012832531491490875,-0.17818292408593786,0.0175,-55.282814025878906,central,2,0.0,2.0,2.0,,,-0.028001665478463816,-0.34660002343774005,0.01,-55.422813415527344,1.5,1.5
SMP385,central,2,0.0,4.0,3.5,-0.17062195889584517,-0.022421423194804033,-0.03914831477096579,-0.09878274509667967,0.0175,-50.32632827758789,central,2,0.0,2.5,2.0,,,0.04485878762101248,-0.03654275126072245,0.01,-50.04640579223633,1.5,1.5
v2LN42c,central,2,0.0,3.5,3.5,-0.28366766606177757,0.09009495828930879,-0.030693150330457705,0.09296220839739816,0.0175,-50.508201599121094,central,2,0.0,2.0,2.0,,,0.08666422772359052,-0.016310070004936193,0.01,-50.528358459472656,1.5,1.5
LHAV2m1,central,4,0.0,3.75,3.5,-0.12503625795618797,-0.020654737355922367,0.03062727095372813,0.012167831953101513,0.0175,-50.86378860473633,central,4,0.0,2.0,1.75,,,0.005008258132375624,0.024329672647560707,0.00875,-50.81574249267578,1.75,1.75
