condition,cell_type,bin_index,teacher_right_minus_left,student_right_minus_left_rate_hz,student_right_minus_left_voltage_mv,student_right_minus_left_conductance
body_left_dark,C3,1,-8.615217585530854e-05,0.019303272507917357,-3.7331680420099076,-4.765531570717041
body_left_dark,L1,0,0.21416528886209907,50.0,-0.3508252590517458,6.241998513137233
body_left_dark,L1,1,-0.214743358766039,-50.0,0.23319101118531194,-8.996114410349406
body_left_dark,L2,0,0.2309979888458331,49.9738219895288,-0.23786083886081855,9.957526292231442
body_left_dark,L2,1,-0.23170005066527244,-50.0,0.23741418832306493,-10.05651856300505
body_left_dark,L3,0,0.04832154985044347,52.811780910711406,-0.3334804727470555,8.508864873117421
body_left_dark,L3,1,-0.04738948107891096,-51.277345649003394,0.2899101573824794,-8.839876485987467
body_left_dark,L4,0,0.005316389605939609,44.05978705978706,-0.5905266954701602,5.305980161405996
body_left_dark,L4,1,-0.00585229562388534,-46.043360433604335,0.6556921906204636,-5.612611506376291
body_left_dark,L5,0,-0.03333524326323673,0.0,-98.07048504382816,-124.52865392333125
body_left_dark,L5,1,0.03399564189106362,0.0,96.98098712874504,123.15744983699375
body_left_dark,Lawf1,0,-0.035036450612448866,0.0,-106.35305441831935,-135.10468524639424
body_left_dark,Lawf1,1,0.034874327045786135,0.0,91.6248448215535,116.07761289393522
body_left_dark,Lawf2,0,-0.030356994769986545,0.0,-93.71634809689354,-119.05165402187839
body_left_dark,Lawf2,1,0.041638856234609056,0.0,127.62621107555569,162.00103323800224
body_left_dark,Mi1,0,-0.35547254204626233,0.0,-1068.561427965542,-1357.0362773828392
body_left_dark,Mi1,1,0.3622031448667662,0.0,1080.4701571582561,1372.056126939496
body_left_dark,Mi10,0,-0.19901718432470705,0.0,-593.3932864448211,-753.5161051303295
body_left_dark,Mi10,1,0.2071949253790082,0.0,613.4454242980058,778.9921099124709
body_left_dark,Mi13,0,-0.03050978397150772,0.0,-92.19199366020179,-117.05824490455583
body_left_dark,Mi13,1,0.025497090506056863,0.0,76.04069019583879,96.55502464898002
body_left_dark,Mi14,0,-0.02924039834269282,0.0,-87.60296557026525,-111.38082221246533
body_left_dark,Mi14,1,0.03363332178495412,0.0,102.52921282860541,130.16788667248142
body_left_dark,Mi15,0,-0.2909793016859369,0.0,-871.6210748197342,-1106.8292632803891
body_left_dark,Mi15,1,0.2804340217650558,0.0,838.5266555933358,1064.8177955394908
body_left_dark,Mi2,0,-0.04609667179574606,0.0,-137.65835946290198,-174.79363150247715
body_left_dark,Mi2,1,0.048926752184828226,0.0,147.10475313042187,186.8072859104462
body_left_dark,Mi4,0,-0.5868682256097446,0.0,-1755.0574264126922,-2228.656926819167
body_left_dark,Mi4,1,0.5924955024112328,0.0,1769.1988640430711,2246.5971721229753
body_left_dark,Mi9,0,0.29938691990516175,40.0,-0.22799005881509515,10.134419487623603
body_left_dark,Mi9,1,-0.29457184617398924,-40.0,0.21853861004503017,-10.069291888005424
body_left_dark,R7,0,-0.14514402473226728,0.0,-431.20279566446936,-547.5391177222842
body_left_dark,R7,1,0.14554720257874576,0.0,428.82350315617254,544.5846260813678
body_left_dark,R8,0,-0.25431677723855506,0.0,-757.6785020122295,-962.1193309837041
body_left_dark,R8,1,0.25502321273088446,0.0,739.0863193050034,938.5713840894662
body_left_dark,T1,0,0.11494230368520311,56.350899326853636,-0.3046673528295969,8.221183671608465
body_left_dark,T1,1,-0.11533379292814064,-52.115307553596494,0.30928049410447755,-7.633071229077764
body_left_dark,T2,0,-0.4153047564782595,0.0,-1241.5386524109479,-1576.6086828006542
body_left_dark,T2,1,0.5290111921313736,0.0,1581.1605805996242,2007.7783574468174
body_left_dark,T2a,0,-0.14632651608835884,0.0,-438.1216436057481,-556.3900513418332
body_left_dark,T2a,1,0.16729620171956616,0.0,499.88630455434367,634.7972714147439
body_left_dark,T3,0,-0.20518129186961448,0.0,-613.5858947074844,-779.2017356638487
body_left_dark,T3,1,0.19900551688689228,0.0,594.9076497273319,755.4298793200619
body_left_dark,T4a,0,-0.2842255790684523,0.0,-852.448504595614,-1082.4429595082688
body_left_dark,T4a,1,0.23296229353202053,0.0,694.5881783320102,882.0016420142045
body_left_dark,T4b,0,-0.13646399887014182,0.0,-410.1612796682529,-520.8342708719483
body_left_dark,T4b,1,0.16227789402122045,0.0,482.7226903999773,612.9503053462922
body_left_dark,T4c,0,-0.1014066637347385,0.0,-305.74098469551774,-388.2547851905327
body_left_dark,T4c,1,0.14587880342446116,0.0,434.0054662030166,551.0904909576036
body_left_dark,T4d,0,0.03316941652143854,59.81695246420031,-0.37975932286846614,8.26252841327933
body_left_dark,T4d,1,-0.032002968581057056,-73.29813353214901,0.5339283539243169,-10.02765356170692
body_left_dark,T5a,0,0.15372168236022352,90.4043126684636,-0.5208809973832871,13.89695094812982
body_left_dark,T5a,1,-0.05980728278441855,-30.0,0.15754522589139697,-4.0625808594657045
body_left_dark,T5b,0,0.08136750649323289,46.33245382585753,-0.29911881930818396,6.413407789607369
body_left_dark,T5b,1,-0.08711881506725504,-44.28001578958302,0.28994264255862134,-7.564551754627999
body_left_dark,T5c,0,0.15982643885547376,50.0,-0.32306207497265405,8.246414637595926
body_left_dark,T5c,1,-0.12899697424499107,-40.13123359580055,0.2408752360627915,-8.267898386485122
body_left_dark,T5d,0,0.18485095491022624,59.97297297297297,-0.3234347986686359,11.466179696352995
body_left_dark,T5d,1,-0.1405735769023371,-39.944903581267226,0.21185183859876133,-7.36330349478893
body_left_dark,Tm1,0,0.00406708715385512,10.450522820687908,0.05993686968724887,1.7600988578449073
body_left_dark,Tm1,1,-0.005339967459440209,-8.034990915819932,-0.045084089219237455,-1.3987074722091641
body_left_dark,Tm16,0,0.09564534374922282,50.5952380952381,-0.30578040870237544,9.304734989678188
body_left_dark,Tm16,1,-0.09729825009223231,-51.90065681444992,0.3186298285799083,-9.25283625560441
body_left_dark,Tm2,0,0.12276040003738181,56.86684073107048,-0.3241403160008147,8.295359231947472
body_left_dark,Tm2,1,-0.10407232173634434,-46.85485976556595,0.25641366745502836,-6.670064048731966
body_left_dark,Tm20,0,0.03566208599429377,58.38505556596567,-0.37837287202542313,8.40521050340783
body_left_dark,Tm20,1,-0.03228519314693079,-46.63691036881386,0.3095382979551786,-6.87602941233752
body_left_dark,Tm3,0,-0.2545186278727578,0.0,-765.6604424714885,-972.3260693958521
body_left_dark,Tm3,1,0.27490550569362115,0.0,818.8607591662912,1039.8086962152674
body_left_dark,Tm4,0,0.011497280948339652,59.83889105142511,-0.5771461171578522,7.692017743406108
body_left_dark,Tm4,1,-0.003938805136944109,-18.383769758382186,0.10523325250039761,-2.566322926550175
body_left_dark,Tm5Y,0,0.013508947122418957,53.84328358208954,-0.4317816552063718,7.1929282861597414
body_left_dark,Tm5Y,1,-0.012828227919009005,-48.76428571428572,0.3923738699476118,-6.602528976243116
body_left_dark,Tm5a,0,0.16790012694853987,50.0,-0.2205747966714,10.749098930851972
body_left_dark,Tm5a,1,-0.16359478826634583,-50.0,0.24105083337811095,-9.64234985096033
body_left_dark,Tm5c,0,0.07684726730876523,52.281879194630875,-0.32990119341106805,8.438305221891273
body_left_dark,Tm5c,1,-0.07129751005494556,-50.0,0.28677646949588365,-7.897005789573026
body_left_dark,Tm9,0,0.14085521984146646,51.84126984126985,-0.26055023282167156,9.764369632216358
body_left_dark,Tm9,1,-0.13747377962278431,-47.2491005291005,0.2801533722246816,-8.812785991850355
body_left_dark,TmY14,0,0.27185527928440556,53.44086021505376,-0.3385825208438362,9.52624294322024
body_left_dark,TmY14,1,-0.12187175829894836,-29.67391304347825,0.15273131494936365,-5.122433496558152
body_left_dark,TmY15,0,-0.16910143197409155,0.0,-506.08622503700497,-642.7163927953948
body_left_dark,TmY15,1,0.09553124046776951,0.0,276.8933978445201,351.2493574424869
body_left_dark,TmY18,0,-0.2816775304850945,0.0,-843.4734066535357,-1071.1149225450101
body_left_dark,TmY18,1,0.3182475836326679,0.0,950.8523649217336,1207.4395249134855
body_left_dark,TmY3,0,0.08344568690953269,58.510398098633374,-0.3031166098192912,8.860456365924183
body_left_dark,TmY3,1,-0.08169753551612502,-58.823529411764696,0.3079855984049189,-8.741780755354121
body_left_dark,TmY4,0,0.09169811753024865,50.00174703004893,-0.305301767558511,8.58605909580788
body_left_dark,TmY4,1,-0.12418965478759168,-56.85714285714286,0.26512437624352003,-9.840919213322572
body_left_dark,TmY5a,0,0.06338131614561504,59.366447728516675,-0.357527858126538,8.546017647050544
body_left_dark,TmY5a,1,-0.04831092373416235,-47.88461538461539,0.29355258406009455,-6.719051567072977
body_left_dark,TmY9,0,-0.08698639628629601,0.0,-259.312824556674,-329.2688235994611
body_left_dark,TmY9,1,0.10974643963078656,0.0,330.07362445654064,419.1645480923113
body_center_dark,Am,0,0.0,0.0,7.4390545634628324e-06,0.0004405311916215737
body_center_dark,Am,1,0.0,0.0,-7.452522602591216e-06,-0.0008710034210324125
body_center_dark,C2,0,0.0,0.0,-2.1280713958627615,-2.709008170126765
