root_id,region,flow,super_class,cell_class,cell_type,side
819279,T2,intrinsic,interneuron,BR|premotor_candidate,IN12A063_a,R
819384,T1,efferent,motor,fl,Ti flexor MN,L
819674,T2,efferent,motor,ml,Acc. ti flexor MN,L
819869,T1,efferent,motor,fl,Acc. ti flexor MN,L
819918,T1,intrinsic,interneuron,IR|premotor_candidate,IN16B094,L
820110,T1,efferent,motor,fl,Ta levator MN,R
820130,T1,efferent,motor,fl,Tr flexor MN,R
820205,T1,intrinsic,interneuron,premotor_candidate,IN03B089,R
820350,T3,efferent,motor,hl,Fe reductor MN,L
820574,T2,efferent,motor,ml,MNml83,R
820632,T2,efferent,motor,ml,MNml80,L
820668,T1,efferent,motor,fl,Tr flexor MN,R
820764,T2,efferent,motor,ml,Fe reductor MN,L
820881,T3,intrinsic,interneuron,IR|premotor_candidate,IN21A004,L
820896,T1,efferent,motor,fl,Ta levator MN,R
821154,T3,efferent,motor,hl,Acc. tr flexor MN,L
821291,T1,efferent,motor,fl,Acc. tr flexor MN,L
821375,T2,efferent,motor,ml,Acc. tr flexor MN,L
821449,T3,efferent,motor,hl,ltm2-femur MN,R
821494,T2,efferent,motor,ml,MNml79,L
821635,T1,efferent,motor,fl,Ti flexor MN,R
821769,T2,efferent,motor,ml,Fe reductor MN,R
822013,T2,efferent,motor,ml,Ti flexor MN,R
822047,T1,efferent,motor,fl,ltm1-tibia MN,L
822092,T1,efferent,motor,fl,ltm MN,L
822185,T2,efferent,motor,ml,MNml77,L
822252,T3,efferent,motor,hl,MNhl64,L
822274,T1,efferent,motor,fl,ltm MN,L
822437,T3,intrinsic,interneuron,IR|premotor_candidate,IN08A048,R
822742,T2,efferent,motor,ml,MNml80,L
822879,T1,intrinsic,interneuron,premotor_candidate,IN03B086_d,L
822945,T3,efferent,motor,hl,Ti flexor MN,L
823132,T2,efferent,motor,ml,Fe reductor MN,R
823168,T1,efferent,motor,fl,Tr flexor MN,L
823180,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A064,L
823281,T1,efferent,motor,fl,Tr flexor MN,L
823405,T3,efferent,motor,hl,ltm MN,L
823665,T3,efferent,motor,hl,Ti flexor MN,R
823739,T2,efferent,motor,ml,Ti flexor MN,L
823921,T1,intrinsic,interneuron,premotor_candidate,IN08A021,L
824041,T2,efferent,motor,ml,Ti flexor MN,L
824104,T3,efferent,motor,hl,ltm MN,L
824223,T2,efferent,motor,wm,STTMm,R
824315,T2,efferent,motor,ml,Tr flexor MN,R
824689,T2,efferent,motor,ml,ltm MN,L
824997,T2,efferent,motor,ml,ltm MN,R
825485,T2,efferent,motor,ml,Acc. ti flexor MN,L
825516,T1,efferent,motor,fl,Acc. ti flexor MN,L
825681,T2,efferent,motor,ml,ltm MN,L
825721,T1,efferent,motor,fl,Ta depressor MN,R
826996,T2,efferent,motor,ml,ltm2-femur MN,L
827188,T1,efferent,motor,fl,Ti flexor MN,R
827968,T3,efferent,motor,hl,Ti flexor MN,R
828238,T3,efferent,motor,hl,,R
828939,T1,efferent,motor,fl,Tr flexor MN,L
828978,T3,efferent,motor,hl,Sternotrochanter MN,L
829716,T2,intrinsic,interneuron,premotor_candidate,IN11A019,R
829873,T3,efferent,motor,hl,Acc. ti flexor MN,L
830039,T1,efferent,motor,fl,ltm2-femur MN,R
830480,T2,efferent,motor,ml,Acc. ti flexor MN,L
830514,T2,efferent,motor,ml,Ti extensor MN,R
830847,T2,efferent,motor,wm,STTMm,L
832490,T2,efferent,motor,ml,Sternal anterior rotator MN,L
833140,T1,efferent,motor,fl,Acc. ti flexor MN,R
834952,T1,efferent,motor,nm,"MNnm07,MNnm12",R
835074,T1,efferent,motor,fl,Fe reductor MN,R
837745,T1,efferent,motor,fl,Acc. ti flexor MN,R
838321,T1,efferent,motor,fl,Tr extensor MN,R
840530,T2,efferent,motor,ml,Tr extensor MN,R
840740,T3,efferent,motor,hl,Ti flexor MN,R
840981,T3,efferent,motor,hl,Tr extensor MN,L
843389,T3,efferent,motor,hl,Acc. ti flexor MN,L
852673,T2,efferent,motor,ml,ltm2-femur MN,R
852881,T3,efferent,motor,hl,,R
853504,T1,efferent,motor,nm,"MNnm07,MNnm12",L
856359,T2,efferent,motor,ml,Sternotrochanter MN,R
857751,T3,efferent,motor,hl,ltm2-femur MN,L
858248,T3,efferent,motor,hl,ltm1-tibia MN,L
860084,T1,efferent,motor,fl,ltm MN,R
867630,T1,efferent,motor,fl,Acc. ti flexor MN,L
867926,T2,efferent,motor,ml,Acc. tr flexor MN,R
869369,T3,efferent,motor,hl,MNhl65,R
876504,T3,efferent,motor,hl,,L
890541,T3,efferent,motor,hl,ltm MN,L
895449,T2,efferent,motor,ml,MNml78,L
896719,T3,efferent,motor,hl,Acc. tr flexor MN,L
902275,T1,intrinsic,interneuron,BI|premotor_candidate,IN06B018,R
902276,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A017,L
902278,T2,intrinsic,interneuron,IR|premotor_candidate,IN09A010,L
902294,T3,intrinsic,interneuron,II|premotor_candidate,IN17A011,R
902310,T3,efferent,motor,hl,Pleural remotor/abductor MN,L
902313,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A014,R
902423,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A025,R
902427,T2,intrinsic,interneuron,IR|premotor_candidate,IN19A013,L
902439,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A007,R
902459,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A037,L
902476,T2,intrinsic,interneuron,BI|premotor_candidate,INXXX023,R
902480,T1,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A008,L
902483,T2,intrinsic,interneuron,IR|premotor_candidate,IN09A003,L
902492,T2,efferent,motor,ml,Pleural remotor/abductor MN,L
902500,T1,intrinsic,interneuron,IR|premotor_candidate,IN19A022,R
902504,T3,intrinsic,interneuron,CR|premotor_candidate,IN01A015,L
902515,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A021,L
902520,T3,intrinsic,interneuron,IR|premotor_candidate,INXXX464,R
902529,T1,intrinsic,interneuron,II|premotor_candidate,IN03B022,R
902532,T2,intrinsic,interneuron,premotor_candidate,IN03A091,L
902551,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A004,R
902554,T1,intrinsic,interneuron,BI|premotor_candidate,IN06A003,L
902614,T2,intrinsic,interneuron,BR|premotor_candidate,IN21A005,R
902617,T2,intrinsic,interneuron,CR|premotor_candidate,IN13B012,R
902619,T1,intrinsic,interneuron,BI|premotor_candidate,IN01A025,L
902663,T2,intrinsic,interneuron,II|premotor_candidate,IN03A001,R
902667,T2,intrinsic,interneuron,IR|premotor_candidate,IN16B016,L
902668,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B011,L
902672,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A051,L
902679,T1,intrinsic,interneuron,II|premotor_candidate,IN17A007,L
902706,T1,intrinsic,interneuron,CR|premotor_candidate,IN13B018,L
902719,T2,efferent,motor,ml,Pleural remotor/abductor MN,R
902722,T2,intrinsic,interneuron,IR|premotor_candidate,IN17A017,R
902736,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A037,L
902758,T3,intrinsic,interneuron,IR|premotor_candidate,IN03B031,L
902796,T3,intrinsic,interneuron,BI|premotor_candidate,INXXX066,L
902825,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A022,L
902859,T1,intrinsic,interneuron,IR|premotor_candidate,IN16B038,L
902860,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A027,L
902894,T2,intrinsic,interneuron,premotor_candidate,IN03A091,L
902943,T2,intrinsic,interneuron,CR|premotor_candidate,IN14A004,R
902962,T3,efferent,motor,hl,Fe reductor MN,R
902963,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A026_c,R
903010,T1,efferent,motor,fl,Tr flexor MN,R
903022,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A060,L
903023,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B062,L
903054,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A053,R
903073,T1,intrinsic,interneuron,IR|premotor_candidate,IN21A014,L
903075,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B081,R
903085,T1,intrinsic,interneuron,premotor_candidate,TN1a_f,L
903090,T3,efferent,motor,hl,MNhl62,R
903091,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A037,R
903106,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A020,L
903109,T1,intrinsic,interneuron,BI|premotor_candidate,IN02A015,L
903116,T2,intrinsic,interneuron,IR|premotor_candidate,IN09A006,L
903125,T1,intrinsic,interneuron,BR|premotor_candidate,IN01A038,L
903152,T1,efferent,motor,nm,ADNM1 MN,L
903153,T1,efferent,motor,nm,MNnm13,R
903158,T2,efferent,motor,ml,Tr flexor MN,L
903159,T2,efferent,motor,ml,Tr flexor MN,L
903182,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A004,R
903189,T2,intrinsic,interneuron,CR|premotor_candidate,IN13B010,R
903216,T1,intrinsic,interneuron,IR|premotor_candidate,INXXX466,R
903238,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A033,L
903264,T3,intrinsic,interneuron,BR|premotor_candidate,IN12B012,L
903273,T3,intrinsic,interneuron,IR|premotor_candidate,IN13A010,R
903280,T3,intrinsic,interneuron,IR|premotor_candidate,IN09A003,R
903284,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B015,L
903285,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A007,R
903298,T1,efferent,motor,fl,Acc. ti flexor MN,L
903300,T1,intrinsic,interneuron,BI|premotor_candidate,IN19B108,R
903308,T3,intrinsic,interneuron,II|premotor_candidate,IN02A011,L
903314,T2,intrinsic,interneuron,BI|premotor_candidate,IN06B077,R
903327,T2,efferent,motor,,PSI,R
903363,T2,efferent,motor,ml,Ti flexor MN,R
903366,T1,intrinsic,interneuron,IR|premotor_candidate,IN16B016,L
903389,T3,intrinsic,interneuron,II|premotor_candidate,IN02A011,R
903400,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B020,R
903416,T2,intrinsic,interneuron,BR|premotor_candidate,IN19B067,L
903417,T1,intrinsic,interneuron,BR|premotor_candidate,IN03B089,L
903429,T2,intrinsic,interneuron,BI|premotor_candidate,IN12A001,R
903442,T1,intrinsic,interneuron,premotor_candidate,,L
903459,T2,intrinsic,interneuron,premotor_candidate,IN03A033,L
903463,T3,intrinsic,interneuron,IR|premotor_candidate,IN21A017,L
903487,T1,intrinsic,interneuron,CI|premotor_candidate,IN01A009,L
903497,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A008,L
903500,T1,intrinsic,interneuron,BR|premotor_candidate,IN20A.22A001,R
903508,T2,efferent,motor,ml,MNml81,L
903510,T2,intrinsic,interneuron,IR|premotor_candidate,IN19A030,L
903513,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B100,L
903519,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A018,R
903520,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A017,R
903523,T2,intrinsic,interneuron,BR|premotor_candidate,IN21A005,L
903524,T3,intrinsic,interneuron,BI|premotor_candidate,IN08B065,L
