root_id,region,flow,super_class,cell_class,cell_type,side
803648,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B071,L
803652,T3,intrinsic,interneuron,premotor_candidate,IN08A019,L
803653,T3,intrinsic,interneuron,BI|premotor_candidate,IN04A002,L
803658,T2,intrinsic,interneuron,II|premotor_candidate,IN17A039,L
803659,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B041,R
803661,T1,intrinsic,interneuron,premotor_candidate,IN03A069,L
803666,T1,intrinsic,interneuron,premotor_candidate,IN11A005,L
803668,T2,intrinsic,interneuron,II|premotor_candidate,IN16B037,R
803670,T2,intrinsic,interneuron,premotor_candidate,IN11B014,L
803674,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B078,R
803679,T2,intrinsic,interneuron,II|premotor_candidate,IN12A004,R
803680,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B106,R
803681,T3,intrinsic,interneuron,BI|premotor_candidate,IN17A074,L
803683,T2,intrinsic,interneuron,BR|premotor_candidate,IN06A003,L
803685,T1,intrinsic,interneuron,IR|premotor_candidate,IN17A041,L
803689,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_e,R
803698,T1,efferent,motor,fl,Sternotrochanter MN,R
803699,T2,intrinsic,interneuron,BI|premotor_candidate,IN18B045_b,R
803702,T2,intrinsic,interneuron,II|premotor_candidate,IN17A099,L
803703,T3,intrinsic,interneuron,BI|premotor_candidate,IN17A060,R
803704,T2,efferent,motor,ml,Sternal posterior rotator MN,L
803706,T1,intrinsic,interneuron,CR|premotor_candidate,IN14A013,R
803710,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B100,R
803713,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B078,R
803719,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B014,R
803720,T2,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A039,L
803721,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B041,L
803724,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A004,L
803729,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A034,L
803731,T3,intrinsic,interneuron,IR|premotor_candidate,IN21A036,R
803737,T2,intrinsic,interneuron,BI|premotor_candidate,IN01A050,L
803744,T2,intrinsic,interneuron,premotor_candidate,"IN17A071, IN17A081",R
803746,T2,intrinsic,interneuron,IR|premotor_candidate,IN08A012,L
803749,T1,intrinsic,interneuron,BI|premotor_candidate,vPR6,L
803750,T1,intrinsic,interneuron,IR|premotor_candidate,IN08A010,L
803754,T2,intrinsic,interneuron,premotor_candidate,IN07B073_a,R
803758,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B068,L
803760,T3,intrinsic,interneuron,II|premotor_candidate,IN03A011,R
803762,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A022,L
803764,T1,intrinsic,interneuron,BI|premotor_candidate,IN07B031,R
803765,T1,efferent,motor,nm,MNnm09,R
803766,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_i,R
803772,T3,intrinsic,interneuron,premotor_candidate,IN20A.22A024,L
803779,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A040,R
803782,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A043,L
803785,T2,intrinsic,interneuron,BI|premotor_candidate,IN18B043,L
803791,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A030,L
803794,T1,intrinsic,interneuron,BR|premotor_candidate,IN01A040,L
803795,T2,intrinsic,interneuron,BI|premotor_candidate,GFC3,R
803799,T1,intrinsic,interneuron,IR|premotor_candidate,IN21A017,R
803802,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A026_a,R
803803,T1,efferent,motor,fl,Pleural remotor/abductor MN,L
803805,T3,intrinsic,interneuron,CI|premotor_candidate,IN06B047,L
803806,T2,intrinsic,interneuron,II|premotor_candidate,IN04B055,L
803807,T1,intrinsic,interneuron,BI|premotor_candidate,IN13A011,R
803808,T3,intrinsic,interneuron,premotor_candidate,IN06B052,L
803811,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B038,R
803815,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B009,L
803817,T3,intrinsic,interneuron,premotor_candidate,IN20A.22A010,R
803818,T3,intrinsic,interneuron,premotor_candidate,IN03A055,L
803821,T3,intrinsic,interneuron,BI|premotor_candidate,IN27X002,L
803823,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A019_a,R
803824,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A035,L
803825,T1,intrinsic,interneuron,IR|premotor_candidate,IN17A028,R
803826,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A018,R
803828,T3,intrinsic,interneuron,IR|premotor_candidate,IN19A016,R
803829,T2,efferent,motor,ml,Tr flexor MN,L
803830,T1,efferent,motor,fl,Fe reductor MN,R
803831,T2,intrinsic,interneuron,BI|premotor_candidate,IN17A027,L
803841,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B038,R
803842,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A002,L
803851,T3,intrinsic,interneuron,BR|premotor_candidate,IN04B032,L
803852,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A026_a,L
803859,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A042,R
803860,T3,intrinsic,interneuron,BI|premotor_candidate,IN06B042,L
803861,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A067,L
803863,T2,intrinsic,interneuron,IR|premotor_candidate,IN17A061,R
803864,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B051_a,L
803868,T2,intrinsic,interneuron,premotor_candidate,IN08A026,L
803874,T2,intrinsic,interneuron,premotor_candidate,IN16B045,L
803883,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B059,L
803884,T3,intrinsic,interneuron,BI|premotor_candidate,IN05B037,R
803885,T3,intrinsic,interneuron,CR|premotor_candidate,IN14A015,R
803890,T2,intrinsic,interneuron,II|premotor_candidate,IN17A039,R
803891,T2,efferent,motor,wm,hg2 MN,R
803899,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A057,R
803901,T1,intrinsic,interneuron,IR|premotor_candidate,IN21A022,L
803906,T2,intrinsic,interneuron,II|premotor_candidate,IN16B068_a,R
803907,T3,intrinsic,interneuron,IR|premotor_candidate,IN08A017,R
803911,T1,intrinsic,interneuron,premotor_candidate,IN12A036,R
803914,T1,intrinsic,interneuron,BI|premotor_candidate,IN06A034,L
803918,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A045,R
803919,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A006,L
803920,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B034,R
803922,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_e,L
803928,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A053,R
803933,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A045,L
803934,T2,intrinsic,interneuron,CR|premotor_candidate,IN26X003,R
803940,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B046,R
803944,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A037,R
803945,T2,intrinsic,interneuron,BR|premotor_candidate,IN04B033,R
803947,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A036,L
803948,T2,intrinsic,interneuron,BI|premotor_candidate,IN17A060,R
803950,T1,intrinsic,interneuron,II|premotor_candidate,IN12A018,R
803951,T1,intrinsic,interneuron,IR|premotor_candidate,IN19A029,R
803953,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A053_b,L
803954,T2,intrinsic,interneuron,CR|premotor_candidate,IN13B067,R
803955,T1,intrinsic,interneuron,II|premotor_candidate,IN12A018,L
803957,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B009,R
803959,T3,intrinsic,interneuron,premotor_candidate,IN17A052,R
803961,T2,intrinsic,interneuron,premotor_candidate,IN16B045,L
803963,T2,intrinsic,interneuron,II|premotor_candidate,IN03A045,L
803967,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B051_a,R
803971,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B038,L
803974,T1,intrinsic,interneuron,premotor_candidate,IN20A.22A036,L
803975,T2,intrinsic,interneuron,BI|premotor_candidate,IN01A050,R
803977,T2,intrinsic,interneuron,II|premotor_candidate,IN17A112,R
803981,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A073,L
803982,T2,efferent,motor,wm,"DVMn 2a, b",L
803984,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A053_a,R
803988,T3,intrinsic,interneuron,CR|premotor_candidate,IN14A015,R
803991,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A037,R
803995,T3,intrinsic,interneuron,premotor_candidate,IN07B075,L
803998,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A035,R
803999,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B026,L
804002,T3,intrinsic,interneuron,BI|premotor_candidate,IN08B029,R
804009,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_d,R
804012,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_c,R
804014,T2,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A045,R
804015,T1,intrinsic,interneuron,II|premotor_candidate,IN02A019,L
804017,T3,intrinsic,interneuron,IR|premotor_candidate,IN13A020,L
804018,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A011,R
804020,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A007,R
804022,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B049_c,R
804025,T2,efferent,motor,ml,Fe reductor MN,L
804026,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A031,L
804027,T1,intrinsic,interneuron,premotor_candidate,IN11A005,L
804028,T1,intrinsic,interneuron,CR|premotor_candidate,IN01A030,L
804033,T2,intrinsic,interneuron,premotor_candidate,IN04B017,L
804035,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B086,R
804036,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B044,R
804037,T1,intrinsic,interneuron,premotor_candidate,IN03A039,L
804038,T2,intrinsic,interneuron,BI|premotor_candidate,IN01A050,L
804040,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B049_a,R
804041,T3,intrinsic,interneuron,BR|premotor_candidate,IN04B054_a,R
804042,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_a,R
804047,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B058,L
804053,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A009,L
804054,T2,intrinsic,interneuron,II|premotor_candidate,IN17A057,L
804062,T3,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A054,L
804063,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A010,R
804067,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A036,R
804070,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A018,L
804072,T2,intrinsic,interneuron,BI|premotor_candidate,IN06A023,L
804077,T3,intrinsic,interneuron,premotor_candidate,IN04B043_b,R
804078,T3,efferent,motor,hl,MNhl29,L
804082,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A015,R
804085,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B084,L
804086,T2,intrinsic,interneuron,premotor_candidate,IN06B055,L
804088,T2,intrinsic,interneuron,BI|premotor_candidate,IN21A032,L
804089,T1,intrinsic,interneuron,BI|premotor_candidate,IN06A024,L
804090,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_i,L
804091,T3,intrinsic,interneuron,BI|premotor_candidate,IN23B008,L
804097,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B027,L
804098,T1,intrinsic,interneuron,IR|premotor_candidate,IN03B042,L
804100,T3,intrinsic,interneuron,premotor_candidate,IN08A019,L
804106,T1,intrinsic,interneuron,BI|premotor_candidate,IN01A022,L
804107,T2,efferent,motor,wm,iii3 MN,L
804109,T1,intrinsic,interneuron,premotor_candidate,IN12A036,R
804110,T3,intrinsic,interneuron,CR|premotor_candidate,IN13B017,R
804111,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B040,L
804115,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B051_b,L
804129,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A045,L
804131,T2,efferent,motor,wm,hg2 MN,L
804132,T2,intrinsic,interneuron,BR|premotor_candidate,IN06A003,R
804133,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B027,L
804134,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B046,L
804136,T2,intrinsic,interneuron,IR|premotor_candidate,IN17A061,R
804138,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A058,R
804141,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B087,L
804145,T1,intrinsic,interneuron,BI|premotor_candidate,IN12B028,R
804146,T2,intrinsic,interneuron,premotor_candidate,IN03A032,L
804147,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B045,L
804148,T2,intrinsic,interneuron,BI|premotor_candidate,IN03B036,L
804150,T3,intrinsic,interneuron,BR|premotor_candidate,INXXX266,R
804152,T2,intrinsic,interneuron,premotor_candidate,IN04B078,L
804158,T2,intrinsic,interneuron,BR|premotor_candidate,IN12B024_a,R
804160,T2,intrinsic,interneuron,premotor_candidate,IN03A091,L
804163,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A071,R
804165,T1,intrinsic,interneuron,II|premotor_candidate,IN11B018,R
804167,T3,intrinsic,interneuron,premotor_candidate,IN13A028,R
804169,T3,intrinsic,interneuron,CR|premotor_candidate,IN14A015,L
804174,T2,intrinsic,interneuron,premotor_candidate,IN04B078,L
804181,T1,intrinsic,interneuron,premotor_candidate,IN12A036,L
804183,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B071,L
804184,T1,intrinsic,interneuron,BI|premotor_candidate,IN03A018,R
804188,T1,intrinsic,interneuron,premotor_candidate,IN12A036,R
804189,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A053_c,R
804193,T2,intrinsic,interneuron,BI|premotor_candidate,IN06B043,R
804198,T1,intrinsic,interneuron,II|premotor_candidate,TN1c_c,L
804200,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B075,R
804205,T1,intrinsic,interneuron,BI|premotor_candidate,IN19A142,R
804214,T1,intrinsic,interneuron,II|premotor_candidate,IN12A011,R
804215,T2,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A042,R
804217,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A007,L
804218,T2,intrinsic,interneuron,IR|premotor_candidate,IN16B052,R
804227,T2,intrinsic,interneuron,BR|premotor_candidate,IN04B033,L
804228,T3,intrinsic,interneuron,BI|premotor_candidate,IN06B038,R
804232,T2,intrinsic,interneuron,II|premotor_candidate,IN03A045,R
804233,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A053,L
804234,T3,intrinsic,interneuron,CR|premotor_candidate,IN13B019,L
804236,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A039,R
804238,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B039,L
804241,T3,intrinsic,interneuron,IR|premotor_candidate,IN13A074,R
804245,T1,efferent,motor,nm,FNM2,R
804251,T1,intrinsic,interneuron,premotor_candidate,IN12A036,L
804252,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A031,R
804253,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B038,L
804255,T2,intrinsic,interneuron,BR|premotor_candidate,IN04B018,R
804257,T1,efferent,motor,fl,Ti extensor MN,R
804260,T1,intrinsic,interneuron,BI|premotor_candidate,IN03B043,L
804266,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A006,R
804267,T3,intrinsic,interneuron,CR|premotor_candidate,IN14A015,L
804269,T2,intrinsic,interneuron,premotor_candidate,IN04B012,L
804272,T1,intrinsic,interneuron,IR|premotor_candidate,IN03B035,L
804282,T2,intrinsic,interneuron,II|premotor_candidate,IN16B037,L
804293,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A040,L
