label,side_mode,delta_net_displacement_vs_baseline,delta_avg_forward_speed_vs_baseline,delta_mean_total_drive_vs_baseline,delta_end_yaw_vs_baseline,mean_abs_drive_diff,net_displacement,avg_forward_speed,mean_total_drive,end_yaw
DNg97,bilateral,0.28203618102389316,3.7865084013289394,1.000504812901846,0.0011660456657409668,0.03891219097797835,0.330254962672949,5.665292283746909,1.000504812901846,0.003284173086285591
DNp103,bilateral,0.2971154066756455,3.9663798952566722,1.0552937425536013,0.009553184732794762,0.0,0.34533418832470136,5.8451637776746415,1.0552937425536013,0.011671312153339386
DNp18,bilateral,0.28439373062252166,3.7943806592695886,1.000504812901846,0.011271575465798378,0.0,0.3326125122715775,5.673164541687558,1.000504812901846,0.013389702886343002
DNp71,left,0.0903771313206771,1.9589490414098638,0.0,-0.009921310003846884,0.4192554415441558,0.13859591296973298,3.837732923827833,0.0,-0.0078031825833022594
DNp71,right,0.0903771313206771,1.9589490414098638,0.0,-0.009921310003846884,0.4192554415441558,0.13859591296973298,3.837732923827833,0.0,-0.0078031825833022594
DNpe040,left,0.09923427043180366,2.088068310168577,0.11556450888156043,-0.025375325232744217,0.4262888137481939,0.14745305208085954,3.9668521925865456,0.11556450888156043,-0.023257197812199593
DNpe040,right,0.11367778604750492,1.8896871571303706,0.12018475251465302,0.012182901613414288,0.45159521875999525,0.1618965676965608,3.7684710395483396,0.12018475251465302,0.014301029033958912
DNpe056,left,0.0903771313206771,1.9589490414098638,0.0,-0.009921310003846884,0.4192554415441558,0.13859591296973298,3.837732923827833,0.0,-0.0078031825833022594
DNpe056,right,0.09121917350669786,1.7760740901962564,0.10494758684937869,0.003256593830883503,0.4075021569329077,0.13943795515575375,3.6548579726142254,0.10494758684937869,0.005374721251428127
DNpe031,left,0.0,0.0,0.0,0.0,0.0,0.048218781649055874,1.878783882417969,0.0,0.0021181274205446243
DNpe031,right,0.0,0.0,0.0,0.0,0.0,0.048218781649055874,1.878783882417969,0.0,0.0021181274205446243
DNpe016,bilateral,0.0253023873831699,0.8621254466498456,0.18478048218685203,-0.0072640408761799335,0.008725689049650199,0.07352116903222577,2.7409093290678146,0.18478048218685203,-0.005145913455635309
DNae002,bilateral,0.0,0.0,0.0,0.0,0.0,0.048218781649055874,1.878783882417969,0.0,0.0021181274205446243
