condition,cell_type,bin_index,teacher_right_minus_left,student_right_minus_left_rate_hz,student_right_minus_left_voltage_mv,student_right_minus_left_conductance
baseline_gray,T3,2,0.0,0.0,0.0,0.0
baseline_gray,T3,3,0.0,0.0,0.0,0.0
baseline_gray,T4a,0,0.0,0.0,0.0,0.0
baseline_gray,T4a,1,0.0,0.0,0.0,0.0
baseline_gray,T4a,2,0.0,0.0,0.0,0.0
baseline_gray,T4a,3,0.0,0.0,0.0,0.0
baseline_gray,T4b,0,0.0,0.0,0.0,0.0
baseline_gray,T4b,1,0.0,0.0,0.0,0.0
baseline_gray,T4b,2,0.0,0.0,0.0,0.0
baseline_gray,T4b,3,0.0,0.0,0.0,0.0
baseline_gray,T4c,0,0.0,0.0,0.0,0.0
baseline_gray,T4c,1,0.0,0.0,0.0,0.0
baseline_gray,T4c,2,0.0,0.0,0.0,0.0
baseline_gray,T4c,3,0.0,0.0,0.0,0.0
baseline_gray,T4d,0,0.0,0.0,0.0,0.0
baseline_gray,T4d,1,0.0,0.0,0.0,0.0
baseline_gray,T4d,2,0.0,0.0,0.0,0.0
baseline_gray,T4d,3,0.0,0.0,0.0,0.0
baseline_gray,T5a,0,0.0,0.0,0.0,0.0
baseline_gray,T5a,1,0.0,0.0,0.0,0.0
baseline_gray,T5a,2,0.0,0.0,0.0,0.0
baseline_gray,T5a,3,0.0,0.0,0.0,0.0
baseline_gray,T5b,0,0.0,0.0,0.0,0.0
baseline_gray,T5b,1,0.0,0.0,0.0,0.0
baseline_gray,T5b,2,0.0,0.0,0.0,0.0
baseline_gray,T5b,3,0.0,0.0,0.0,0.0
baseline_gray,T5c,0,0.0,0.0,0.0,0.0
baseline_gray,T5c,1,0.0,0.0,0.0,0.0
baseline_gray,T5c,2,0.0,0.0,0.0,0.0
baseline_gray,T5c,3,0.0,0.0,0.0,0.0
baseline_gray,T5d,0,0.0,0.0,0.0,0.0
baseline_gray,T5d,1,0.0,0.0,0.0,0.0
baseline_gray,T5d,2,0.0,0.0,0.0,0.0
baseline_gray,T5d,3,0.0,0.0,0.0,0.0
baseline_gray,Tm1,0,0.0,0.0,0.0,0.0
baseline_gray,Tm1,1,0.0,0.0,0.0,0.0
baseline_gray,Tm1,2,0.0,0.0,0.0,0.0
baseline_gray,Tm1,3,0.0,0.0,0.0,0.0
baseline_gray,Tm16,0,0.0,0.0,0.0,0.0
baseline_gray,Tm16,1,0.0,0.0,0.0,0.0
baseline_gray,Tm16,2,0.0,0.0,0.0,0.0
baseline_gray,Tm16,3,0.0,0.0,0.0,0.0
baseline_gray,Tm2,0,0.0,0.0,0.0,0.0
baseline_gray,Tm2,1,0.0,0.0,0.0,0.0
baseline_gray,Tm2,2,0.0,0.0,0.0,0.0
baseline_gray,Tm2,3,0.0,0.0,0.0,0.0
baseline_gray,Tm20,0,0.0,0.0,0.0,0.0
baseline_gray,Tm20,1,0.0,0.0,0.0,0.0
baseline_gray,Tm20,2,0.0,0.0,0.0,0.0
baseline_gray,Tm20,3,0.0,0.0,0.0,0.0
baseline_gray,Tm3,0,0.0,0.0,0.0,0.0
baseline_gray,Tm3,1,0.0,0.0,0.0,0.0
baseline_gray,Tm3,2,0.0,0.0,0.0,0.0
baseline_gray,Tm3,3,0.0,0.0,0.0,0.0
baseline_gray,Tm4,0,0.0,0.0,0.0,0.0
baseline_gray,Tm4,1,0.0,0.0,0.0,0.0
baseline_gray,Tm4,2,0.0,0.0,0.0,0.0
baseline_gray,Tm4,3,0.0,0.0,0.0,0.0
baseline_gray,Tm5Y,0,0.0,0.0,0.0,0.0
baseline_gray,Tm5Y,1,0.0,0.0,0.0,0.0
baseline_gray,Tm5Y,2,0.0,0.0,0.0,0.0
baseline_gray,Tm5Y,3,0.0,0.0,0.0,0.0
baseline_gray,Tm5a,0,0.0,0.0,0.0,0.0
baseline_gray,Tm5a,1,0.0,0.0,0.0,0.0
baseline_gray,Tm5a,2,0.0,0.0,0.0,0.0
baseline_gray,Tm5a,3,0.0,0.0,0.0,0.0
baseline_gray,Tm5c,0,0.0,0.0,0.0,0.0
baseline_gray,Tm5c,1,0.0,0.0,0.0,0.0
baseline_gray,Tm5c,2,0.0,0.0,0.0,0.0
baseline_gray,Tm5c,3,0.0,0.0,0.0,0.0
baseline_gray,Tm9,0,0.0,0.0,0.0,0.0
baseline_gray,Tm9,1,0.0,0.0,0.0,0.0
baseline_gray,Tm9,2,0.0,0.0,0.0,0.0
baseline_gray,Tm9,3,0.0,0.0,0.0,0.0
baseline_gray,TmY14,0,0.0,0.0,0.0,0.0
baseline_gray,TmY14,1,0.0,0.0,0.0,0.0
baseline_gray,TmY14,2,0.0,0.0,0.0,0.0
baseline_gray,TmY14,3,0.0,0.0,0.0,0.0
baseline_gray,TmY15,0,0.0,0.0,0.0,0.0
baseline_gray,TmY15,1,0.0,0.0,0.0,0.0
baseline_gray,TmY15,2,0.0,0.0,0.0,0.0
baseline_gray,TmY15,3,0.0,0.0,0.0,0.0
baseline_gray,TmY18,0,0.0,0.0,0.0,0.0
baseline_gray,TmY18,1,0.0,0.0,0.0,0.0
baseline_gray,TmY18,2,0.0,0.0,0.0,0.0
baseline_gray,TmY18,3,0.0,0.0,0.0,0.0
baseline_gray,TmY3,0,0.0,0.0,0.0,0.0
baseline_gray,TmY3,1,0.0,0.0,0.0,0.0
baseline_gray,TmY3,2,0.0,0.0,0.0,0.0
baseline_gray,TmY3,3,0.0,0.0,0.0,0.0
baseline_gray,TmY4,0,0.0,0.0,0.0,0.0
baseline_gray,TmY4,1,0.0,0.0,0.0,0.0
baseline_gray,TmY4,2,0.0,0.0,0.0,0.0
baseline_gray,TmY4,3,0.0,0.0,0.0,0.0
baseline_gray,TmY5a,0,0.0,0.0,0.0,0.0
baseline_gray,TmY5a,1,0.0,0.0,0.0,0.0
baseline_gray,TmY5a,2,0.0,0.0,0.0,0.0
baseline_gray,TmY5a,3,0.0,0.0,0.0,0.0
baseline_gray,TmY9,0,0.0,0.0,0.0,0.0
baseline_gray,TmY9,1,0.0,0.0,0.0,0.0
baseline_gray,TmY9,2,0.0,0.0,0.0,0.0
baseline_gray,TmY9,3,0.0,0.0,0.0,0.0
body_left_dark,Am,0,0.908312935361546,100.0,-0.7154346992229605,13.53740731914251
body_left_dark,Am,1,0.11423436755107508,10.0,-0.11592048511170816,-3.4422833339911065
body_left_dark,Am,2,-0.10346785804463776,-10.0,0.12570653164894452,4.402289187400264
body_left_dark,Am,3,-0.9235474689967105,-100.17543859649123,0.62592273606991,-17.124949538916873
body_left_dark,C2,0,-0.02652164896466455,0.0,-101.14725596647607,-128.44302541374043
body_left_dark,C2,1,-0.004904470851437914,0.0,-21.194899701454545,-26.923505480362948
body_left_dark,C2,2,0.0017562632242010823,0.0,5.579738077383013,7.0933564563299
body_left_dark,C2,3,0.02668977309432294,0.0,99.63360171430966,126.50192764956228
body_left_dark,C3,0,0.0005460765459754935,0.0,1.6510979045676777,2.1074257844238478
body_left_dark,C3,1,0.00021993953527676968,0.3684210526315789,-2.969436163077681,-3.7201321376986183
body_left_dark,C3,2,-5.085116459263572e-05,-0.2857142857142857,-4.491274711780974,-5.74374314295058
body_left_dark,C3,3,-0.00012145318711795361,0.205686630369026,-2.648538814943919,-3.3696739236217415
body_left_dark,L1,0,0.3796980241879573,120.1010101010101,-0.794696249143044,16.953115087566957
body_left_dark,L1,1,0.04771292722887477,10.0,-0.04667065922666325,1.7804162662554788
body_left_dark,L1,2,-0.043379087249438175,-10.0,0.059647090543947456,-1.0130831916925302
body_left_dark,L1,3,-0.3861076302826403,-130.0,0.7499048455717556,-19.12133535394814
body_left_dark,L2,0,0.4095602698253664,120.0,-0.6883416503417266,20.961363238189858
body_left_dark,L2,1,0.05144369519419145,10.0,-0.04823083447353582,1.974635520473882
body_left_dark,L2,2,-0.04694853093889062,-10.0,0.06252387746830834,-1.1789875886687824
body_left_dark,L2,3,-0.4164515703916547,-127.66497461928935,0.728456579565183,-22.42032968136526
body_left_dark,L3,0,0.08569623529283941,133.0,-0.9452709656649461,18.685844783129504
body_left_dark,L3,1,0.01073922726670086,13.18293471234648,-0.05029783563299617,1.8417759328791625
body_left_dark,L3,2,-0.007908916363440863,-1.1335716607084692,0.015330213039078444,-1.7726098042941558
body_left_dark,L3,3,-0.08687004579438104,-136.96132596685084,0.9557354973863426,-19.33405494671345
body_left_dark,L4,0,0.009561830133364202,109.5004095004095,-1.546727562106895,13.130736851262615
body_left_dark,L4,1,0.0010473632978069691,7.790335790335789,-0.09426915249211021,0.7678979517493847
body_left_dark,L4,2,-0.001479646646314281,-9.855855855855864,0.10634162771614086,-1.4195261582695586
body_left_dark,L4,3,-0.010224944601456398,-109.50424178154825,1.6131905872268106,-13.326810846683962
body_left_dark,L5,0,-0.0600770640296949,0.0,-221.43096889762623,-281.1506321944033
body_left_dark,L5,1,-0.006444856825853801,0.0,-23.69392706542908,-30.057302066018508
body_left_dark,L5,2,0.007314870534820432,0.0,23.24268116284034,29.46969648924201
body_left_dark,L5,3,0.06067641324730681,0.0,221.01963462165008,280.61666476134343
body_left_dark,Lawf1,0,-0.06183327506146119,0.0,-231.91227134508966,-294.72296540871645
body_left_dark,Lawf1,1,-0.008239626163436542,0.0,-30.9717288286258,-39.44065655048078
body_left_dark,Lawf1,2,0.007045184779628677,0.0,18.736620342548093,23.526129525991564
body_left_dark,Lawf1,3,0.06363110738748223,0.0,215.43841382260723,273.3809400325917
body_left_dark,Lawf2,0,-0.06103731535615464,0.0,-232.5489869676195,-295.32168901166096
body_left_dark,Lawf2,1,0.0003233258161814412,0.0,-1.6146392822265625,-1.9964460342649772
body_left_dark,Lawf2,2,0.015892762810953198,0.0,60.29636056082592,76.60105363149489
body_left_dark,Lawf2,3,0.0682431527723869,0.0,261.0192074851384,331.4752950516958
body_left_dark,Mi1,0,-0.6336253552044129,0.0,-2375.256177724492,-3016.355036351345
body_left_dark,Mi1,1,-0.07577443548167745,0.0,-287.40177273032714,-364.96695335132745
body_left_dark,Mi1,2,0.07542843406813016,0.0,278.72237657673054,354.0002190668581
body_left_dark,Mi1,3,0.6489778556654023,0.0,2425.733099974202,3080.3648548114425
body_left_dark,Mi10,0,-0.35187381321759836,0.0,-1314.6641326377307,-1669.4938479772356
body_left_dark,Mi10,1,-0.045311351937966204,0.0,-166.59944591192846,-211.58522888854304
body_left_dark,Mi10,2,0.049910634073118354,0.0,182.5053071521578,231.75162657836563
body_left_dark,Mi10,3,0.3644792166848978,0.0,1354.4125113393745,1719.8724641986923
body_left_dark,Mi13,0,-0.05254611134199805,0.0,-197.53456756412896,-250.8356871544354
body_left_dark,Mi13,1,-0.008351032560070415,0.0,-32.400854329346686,-41.12081149255803
body_left_dark,Mi13,2,0.004860329462422208,0.0,17.84897232055664,22.678963860975415
body_left_dark,Mi13,3,0.04613385154969163,0.0,172.7184235489928,219.33428827699248
body_left_dark,Mi14,0,-0.05457851930279595,0.0,-202.49613411195816,-257.23635052096455
