cell_type,sides
AN08B034,L|R
AN08B041,L|R
AN08B043,L|R
AN08B047,L|R
AN08B048,L|R
AN08B049,L|R
AN08B050,L|R
AN08B053,L|R
AN08B057,L|R
AN08B059,L|R
AN08B061,L|R
AN08B066,L|R
AN08B069,L|R
AN08B074,L|R
AN08B079_a,L|R
AN08B079_b,L|R
AN08B081,L|R
AN08B084,L|R
AN08B086,L|R
AN08B089,L|R
AN08B094,L|R
AN08B095,L|R
AN08B096,L|R
AN08B097,L|R
AN08B098,L|R
AN08B099_a,L|R
AN08B099_b,L|R
AN08B099_c,L|R
AN08B099_d,L|R
AN08B099_e,L|R
AN08B099_f,L|R
AN08B099_g,L|R
AN08B099_h,L|R
AN08B100,L|R
AN08B101,L|R
AN08B102,L|R
AN08B103,L|R
AN08B106,L|R
AN08B107,L|R
AN08B109,L|R
AN08B110,L|R
AN08B111,L|R
AN08B112,L|R
AN08B113,L|R
AN09A005,L|R
AN09A007,L|R
AN09B002,L|R
AN09B003,L|R
AN09B004,L|R
AN09B006,L|R
AN09B007,L|R
AN09B009,L|R
AN09B011,L|R
AN09B012,L|R
AN09B013,L|R
AN09B014,L|R
AN09B015,L|R
AN09B016,L|R
AN09B017a,L|R
AN09B017b,L|R
AN09B017c,L|R
AN09B017d,L|R
AN09B017e,L|R
AN09B017f,L|R
AN09B017g,L|R
AN09B018,L|R
AN09B019,L|R
AN09B020,L|R
AN09B021,L|R
AN09B023,L|R
AN09B024,L|R
AN09B026,L|R
AN09B027,L|R
AN09B028,L|R
AN09B029,L|R
AN09B030,L|R
AN09B031,L|R
AN09B032,L|R
AN09B033,L|R
AN09B034,L|R
AN09B035,L|R
AN09B036,L|R
AN09B037,L|R
AN09B040,L|R
AN09B042,L|R
AN09B044,L|R
AN09B059,L|R
AN09B060,L|R
AN10B005,L|R
AN10B008,L|R
AN10B009,L|R
AN10B015,L|R
AN10B017,L|R
AN10B018,L|R
AN10B019,L|R
AN10B020,L|R
AN10B021,L|R
AN10B022,L|R
AN10B024,L|R
AN10B025,L|R
AN10B026,L|R
AN10B027,L|R
AN10B029,L|R
AN10B031,L|R
AN10B033,L|R
AN10B034,L|R
AN10B035,L|R
AN10B037,L|R
AN10B039,L|R
AN10B045,L|R
AN10B046,L|R
AN10B047,L|R
AN10B048,L|R
AN10B053,L|R
AN10B061,L|R
AN10B062,L|R
AN11B008,L|R
AN11B012,L|R
AN12A003,L|R
AN12A017,L|R
AN12B001,L|R
AN12B004,L|R
AN12B005,L|R
AN12B006,L|R
AN12B008,L|R
AN12B011,L|R
AN12B017,L|R
AN12B019,L|R
AN12B055,L|R
AN12B060,L|R
AN12B076,L|R
AN12B080,L|R
AN12B089,L|R
AN13B002,L|R
AN14A003,L|R
AN14B012,L|R
AN16B078_a,L|R
AN16B078_b,L|R
AN16B078_c,L|R
AN16B078_d,L|R
AN16B081,L|R
AN16B112,L|R
AN16B116,L|R
AN17A002,L|R
AN17A003,L|R
AN17A004,L|R
AN17A008,L|R
AN17A009,L|R
AN17A012,L|R
AN17A013,L|R
AN17A014,L|R
AN17A015,L|R
AN17A018,L|R
AN17A024,L|R
AN17A026,L|R
AN17A031,L|R
AN17A047,L|R
AN17A050,L|R
AN17A062,L|R
AN17A068,L|R
AN17A073,L|R
AN17A076,L|R
AN17B002,L|R
AN17B005,L|R
