window_ms,condition,cell_type,side,mean_rate_hz,mean_voltage_mv,mean_conductance
500.0,body_center_dark,LC31a,right,3.764705882352941,-57.576052497414985,-5.291681110858917
500.0,body_center_dark,LC31b,left,57.6,-49.224064636230466,11.079796934127808
500.0,body_center_dark,LC31b,right,52.0,-50.3741958618164,8.990079206228256
500.0,body_center_dark,LC19,left,1.75,-67.05986261367798,-15.357112728059292
500.0,body_center_dark,LC19,right,3.3333333333333335,-60.71421559651693,-8.930649717648825
500.0,body_center_dark,LCe06,left,84.8,-49.789730834960935,14.311871147155761
500.0,body_center_dark,LCe06,right,84.33333333333333,-49.8905340830485,14.10848887761434
500.0,body_center_dark,LT82a,left,93.0,-50.05544662475586,15.120327472686768
500.0,body_center_dark,LT82a,right,56.0,-57.59111976623535,2.1832547187805176
500.0,body_center_dark,LCe04,left,0.0,-52.91833813985189,-0.9590996466577053
500.0,body_center_dark,LCe04,right,0.0,-52.172532081604004,-0.18413164466619492
500.0,body_right_dark,LC31a,left,1.6666666666666667,-54.92976824442545,-2.8175773206684323
500.0,body_right_dark,LC31a,right,4.0,-57.265903921688306,-4.929244886426365
500.0,body_right_dark,LC31b,left,59.2,-49.26644515991211,11.235653686523438
500.0,body_right_dark,LC31b,right,44.0,-50.04954605102539,8.24264636039734
500.0,body_right_dark,LC19,left,0.0,-68.30477333068848,-16.944260500371456
500.0,body_right_dark,LC19,right,1.0,-61.41646258036295,-9.694983581701914
500.0,body_right_dark,LCe06,left,52.8,-49.652741241455075,9.834833121299743
500.0,body_right_dark,LCe06,right,61.333333333333336,-49.56493377685547,11.171132564544678
500.0,body_right_dark,LT82a,left,67.0,-49.89120674133301,11.667984962463379
500.0,body_right_dark,LT82a,right,63.0,-59.93391227722168,0.6555871963500977
500.0,body_right_dark,LCe04,left,0.0,-52.93627071380615,-0.9755933955311775
500.0,body_right_dark,LCe04,right,0.0,-53.071603775024414,-1.1181989256292582
