family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
LTe01,visual_projection,3,2,-0.1968281686434622,0.8531338693647721,2.2109375
LC10f,visual_projection,2,2,0.2854159587799068,0.794060157471469,1.0290625095367432
LC13,visual_projection,75,70,-0.10496046198036783,0.7624286740641585,1.0259606838226318
LC26,visual_projection,26,31,0.4670530405112821,0.7516538592836426,0.6742962002754211
LT70,visual_centrifugal,4,4,0.031081635747694923,0.7255275950070605,0.4267578125
LCe02,visual_projection,25,28,0.023466166455583103,0.7128708748999765,1.2518162727355957
CB1189,central,2,2,0.24020313991027867,0.6948681325233456,2.258125066757202
LC20a,visual_projection,20,26,0.5354232431044789,0.6899875054647122,0.9352433681488037
LPLC2,visual_projection,108,102,-0.025287516084695493,0.67616594099012,1.8098868131637573
PVLP148,central,2,2,0.4015404424288634,0.6408058222577477,9.651171684265137
SLP189,central,5,6,-0.3788297530035781,0.6339735004475442,0.6384531259536743
MeMe_e08,visual_projection,6,6,0.11295829255173338,0.6331785074895978,8.983750343322754
MTe50,visual_projection,25,29,0.05587559320283737,0.629127173085982,0.7145789861679077
CB2344,central,3,3,-0.1411501261394897,0.6157555365779369,2.5498435497283936
CB1552,central,4,5,-0.0010038897668691153,0.6156792431659511,1.9330155849456787
PVLP082b,central,4,4,0.12192144109232188,0.6087067464735612,15.5990629196167
LCe05,visual_projection,11,8,-0.1968764136632249,0.6025495283309258,0.8242560029029846
MTe53,visual_projection,7,7,0.12454560787490306,0.6017408167983467,2.7231922149658203
LC31a,visual_projection,18,17,0.5313714171556302,0.5973170458333534,1.0798964500427246
LC10b,visual_projection,40,43,0.33665429258161633,0.5960424406616293,1.1765440702438354
AVLP394,central,2,2,0.04222415788231804,0.593756735578942,2.6242969036102295
LPLC4,visual_projection,56,54,0.12824151838274062,0.5880779391290453,1.232319712638855
CB3313,central,3,2,0.10280567428466483,0.5842907365305985,1.561354160308838
CB2250,central,2,2,0.2644333632786523,0.5829076544797394,0.958203136920929
PLP241,central,4,4,0.51292415181029,0.575677487184759,1.1553125381469727
"AVLP190,AVLP191",central,8,8,0.6291475893082281,0.5729955458512349,0.6555859446525574
AVLP050,central,3,3,0.025082462940621005,0.5686005460669141,1.6052606105804443
CB1165,central,3,3,0.6908109905192429,0.5680370505381653,0.3193229138851166
LC44,visual_projection,2,2,0.04698197555049028,0.5649793107051457,0.953906238079071
AVLP459,central,2,2,0.5070890339569779,0.5645859437315,1.9796874523162842
CB1374,central,2,2,0.5200620081631666,0.5641995950357194,0.2960156202316284
AVLP026,central,6,5,0.18644911812735643,0.5639134317222496,0.6341667175292969
LCe01a,visual_projection,9,12,0.5148392048994158,0.5600001878407146,1.8949520587921143
LC31b,visual_projection,5,5,0.3928854234323396,0.5587150973669254,3.8761563301086426
CB1916,central,2,2,-0.05786829410149956,0.5576915205302283,1.228124976158142
MC65,visual_projection,3,3,0.4726452203700539,0.5568110159400008,0.7938538193702698
CB1322,central,4,4,-0.22495686159625236,0.5565796167327661,0.6810547113418579
CB2271,central,2,2,0.4182659079563419,0.55566994772902,2.4864063262939453
LC29,visual_projection,22,23,0.2801959287787791,0.5551224868955007,0.9374609589576721
CB1458,central,3,2,0.1096936325510302,0.5522082483332075,1.374843716621399
CB1834,central,2,2,-0.14627866482191518,0.5521427711480501,2.963203191757202
AVLP244,central,3,3,-0.2815855551546911,0.5518328384457248,3.0232813358306885
AN_GNG_190,ascending,3,2,0.36074102683150266,0.5518044985517588,0.2245573103427887
