condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz
baseline_gray,L4,left,3,180,164,1.0857368134789998,1.0857368134789998,0.0,0.0,0.0,0.0,0.0
baseline_gray,L4,right,3,180,184,1.0857368134789998,1.0857368134789998,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,left,0,181,206,0.1269335953971546,0.1269335953971546,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,right,0,181,197,0.1269335953971546,0.1269335953971546,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,left,1,180,205,0.10776263186708093,0.10776263186708093,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,right,1,180,197,0.10776263186708093,0.10776263186708093,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,left,2,180,205,0.1070555411486162,0.1070555411486162,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,right,2,180,196,0.1070555411486162,0.1070555411486162,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,left,3,180,205,0.12056470710473756,0.12056470710473756,0.0,0.0,0.0,0.0,0.0
baseline_gray,L5,right,3,180,196,0.12056470710473756,0.12056470710473756,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,0,31,50,-0.5389958909682689,-0.5389958909682689,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,0,31,39,-0.5389958909682689,-0.5389958909682689,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,1,31,50,-0.5240060056169187,-0.5240060056169187,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,1,31,39,-0.5240060056169187,-0.5240060056169187,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,2,31,50,-0.5067974391551557,-0.5067974391551557,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,2,31,39,-0.5067974391551557,-0.5067974391551557,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,3,30,49,-0.3323924078470251,-0.3323924078470251,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,3,30,39,-0.3323924078470251,-0.3323924078470251,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,0,31,37,0.5862433975262027,0.5862433975262027,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,0,31,42,0.5862433975262027,0.5862433975262027,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,1,31,36,0.4960453409341074,0.4960453409341074,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,1,31,42,0.4960453409341074,0.4960453409341074,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,2,31,36,0.4919173971058861,0.4919173971058861,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,2,31,42,0.4919173971058861,0.4919173971058861,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,3,30,36,0.5226325447360675,0.5226325447360675,0.0,0.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,3,30,42,0.5226325447360675,0.5226325447360675,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,left,0,181,197,0.9028754341750513,0.9028754341750513,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,right,0,181,199,0.9028754341750513,0.9028754341750513,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,left,1,180,197,0.8977115789221393,0.8977115789221393,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,right,1,180,198,0.8977115789221393,0.8977115789221393,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,left,2,180,197,0.8991054839558071,0.8991054839558071,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,right,2,180,198,0.8991054839558071,0.8991054839558071,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,left,3,180,196,0.8991207304100196,0.8991207304100196,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi1,right,3,180,198,0.8991207304100196,0.8991207304100196,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,left,0,181,49,1.309851583937255,1.309851583937255,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,right,0,181,52,1.309851583937255,1.309851583937255,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,left,1,180,49,1.3439513164261976,1.3439513164261976,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,right,1,180,52,1.3439513164261976,1.3439513164261976,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,left,2,180,49,1.331749459852775,1.331749459852775,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,right,2,180,51,1.331749459852775,1.331749459852775,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,left,3,180,48,1.314309216580457,1.314309216580457,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi10,right,3,180,51,1.314309216580457,1.314309216580457,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,left,0,181,92,0.7043869191194108,0.7043869191194108,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,right,0,181,89,0.7043869191194108,0.7043869191194108,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,left,1,180,92,0.6939696797480186,0.6939696797480186,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,right,1,180,88,0.6939696797480186,0.6939696797480186,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,left,2,180,92,0.6802149886886278,0.6802149886886278,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,right,2,180,88,0.6802149886886278,0.6802149886886278,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,left,3,180,91,0.6437135644050108,0.6437135644050108,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi13,right,3,180,88,0.6437135644050108,0.6437135644050108,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,left,0,181,31,0.2970692886358631,0.2970692886358631,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,right,0,181,31,0.2970692886358631,0.2970692886358631,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,left,1,180,31,0.2846798411467009,0.2846798411467009,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,right,1,180,31,0.2846798411467009,0.2846798411467009,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,left,2,180,31,0.2897927312594321,0.2897927312594321,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,right,2,180,31,0.2897927312594321,0.2897927312594321,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,left,3,180,31,0.2944328193552792,0.2944328193552792,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi14,right,3,180,31,0.2944328193552792,0.2944328193552792,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,left,0,181,125,0.38539225814956657,0.38539225814956657,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,right,0,181,121,0.38539225814956657,0.38539225814956657,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,left,1,180,125,0.3088471113341964,0.3088471113341964,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,right,1,180,121,0.3088471113341964,0.3088471113341964,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,left,2,180,124,0.31984267519373033,0.31984267519373033,0.0,0.0,0.0,0.0,0.0
