family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
v2LN37,central,2,3.0,6,3.0,6,-50.414845,-45.03125
CB3821,optic,17,0.4117647058823529,7,0.29411764705882354,5,-50.661983,-45.0
LLPC2,visual_projection,48,0.14583333333333334,7,0.10416666666666667,5,-50.239513,-45.0
AVLP446,central,2,3.0,6,2.5,5,-49.858986,-45.0
CB3822,optic,29,0.20689655172413793,6,0.1724137931034483,5,-51.84951,-45.0
CB3829,optic,16,0.375,6,0.3125,5,-56.810577,-45.03125
LPLC4,visual_projection,27,0.2222222222222222,6,0.18518518518518517,5,-55.27917,-45.0
ALON3,central,4,1.25,5,1.25,5,-48.637615,-45.03125
"CB.FB3,4A9",central,6,0.8333333333333334,5,0.8333333333333334,5,-49.190678,-45.0
CB1231,central,5,1.0,5,1.0,5,-49.647625,-45.0
CB1321,central,5,1.0,5,1.0,5,-49.325813,-45.0
CB3457,central,3,1.6666666666666667,5,1.6666666666666667,5,-49.72375,-45.03125
CB3513,central,2,2.5,5,2.5,5,-49.321564,-45.0
CB3633,central,3,1.6666666666666667,5,1.6666666666666667,5,-50.231304,-45.0
DL5_adPN,central,2,2.5,5,2.5,5,-50.896248,-45.03125
IB092,central,2,2.5,5,2.5,5,-50.013596,-45.0
LN60a,central,2,2.5,5,2.5,5,-50.371017,-45.0
M_adPNm3,central,2,2.5,5,2.5,5,-50.743515,-45.03125
M_l2PNl21,central,1,5.0,5,5.0,5,-50.883125,-45.03125
M_lvPNm24,central,3,1.6666666666666667,5,1.6666666666666667,5,-49.59672,-45.09375
M_lvPNm43,central,4,1.25,5,1.25,5,-48.910156,-45.0
M_vPNml55,central,2,2.5,5,2.5,5,-49.998672,-45.03125
M_vPNml60,central,6,0.8333333333333334,5,0.8333333333333334,5,-48.92763,-45.0
M_vPNml84,central,8,0.625,5,0.625,5,-49.530037,-45.0
PAM08,central,12,0.4166666666666667,5,0.4166666666666667,5,-49.76755,-45.0
VA7m_lPN,central,3,1.6666666666666667,5,1.6666666666666667,5,-50.212605,-45.03125
VM4_adPN,central,2,2.5,5,2.5,5,-50.465546,-45.03125
"VP5+_l2PN,VP5+VP2_l2PN",central,3,1.6666666666666667,5,1.6666666666666667,5,-50.051456,-45.03125
WEDPN10A,central,2,2.5,5,2.5,5,-49.869064,-45.0625
cLP03,visual_centrifugal,20,0.25,5,0.25,5,-51.173553,-45.0
lLN2X09,central,2,2.5,5,2.5,5,-50.69445,-45.03125
v2LN36,central,2,2.5,5,2.5,5,-50.76609,-45.03125
v2LN41b,central,2,2.5,5,2.5,5,-49.477814,-45.03125
v2LN42b,central,2,2.5,5,2.5,5,-50.376797,-45.09375
v2LN47,central,5,1.0,5,1.0,5,-49.878716,-45.0
DCH,visual_centrifugal,2,39.0,78,2.0,4,-116.75258,-45.0625
LC16,visual_projection,75,0.08,6,0.05333333333333334,4,-52.47309,-45.0
Li19,optic,16,0.375,6,0.25,4,-53.051796,-45.0
CB1545,central,6,0.8333333333333334,5,0.6666666666666666,4,-48.52065,-45.0
LHPV8a1,central,1,5.0,5,4.0,4,-50.519062,-45.1875
ALIN2,central,2,2.0,4,2.0,4,-49.977108,-45.0
ALIN4,central,2,2.0,4,2.0,4,-50.094215,-45.0
ALON1,central,1,4.0,4,4.0,4,-49.722187,-45.03125
AMMC-A1,central,2,2.0,4,2.0,4,-49.880936,-45.0
CB1673,central,4,1.0,4,1.0,4,-49.93539,-45.0
CB2307,central,3,1.3333333333333333,4,1.3333333333333333,4,-49.703335,-45.03125
CB2561,central,3,1.3333333333333333,4,1.3333333333333333,4,-49.790264,-45.0
CB2703,central,5,0.8,4,0.8,4,-49.00853,-45.0
DC4_adPN,central,2,2.0,4,2.0,4,-50.260002,-45.03125
DNp05,descending,2,2.0,4,2.0,4,-50.274765,-45.0625
HSE,visual_projection,1,4.0,4,4.0,4,-55.415157,-45.09375
LHAV1a3,central,1,4.0,4,4.0,4,-50.178905,-45.0625
MBON30,central,2,2.0,4,2.0,4,-51.749374,-45.03125
M_vPNml68,central,1,4.0,4,4.0,4,-50.39625,-45.125
M_vPNml80,central,2,2.0,4,2.0,4,-49.50117,-45.0
PLP078,central,2,2.0,4,2.0,4,-50.135155,-45.03125
PPL202,central,1,4.0,4,4.0,4,-50.242813,-45.09375
PVLP021,central,3,1.3333333333333333,4,1.3333333333333333,4,-49.584427,-45.03125
VES018,central,2,2.0,4,2.0,4,-50.80281,-45.03125
VL2p_vPN,central,2,2.0,4,2.0,4,-50.19336,-45.0625
VM1_lPN,central,2,2.0,4,2.0,4,-50.552734,-45.0
VP1d+VP4_l2PN1,central,1,4.0,4,4.0,4,-50.98656,-45.125
VP1d+VP4_l2PN2,central,1,4.0,4,4.0,4,-51.16422,-45.09375
VP1m+_lvPN,central,4,1.0,4,1.0,4,-50.202072,-45.03125
v2LN31,central,2,2.0,4,2.0,4,-49.60125,-45.0
v2LN41a,central,2,2.0,4,2.0,4,-50.51664,-45.03125
v2LN46a,central,3,1.3333333333333333,4,1.3333333333333333,4,-49.878857,-45.0
LC12,visual_projection,160,0.1,16,0.01875,3,-51.253487,-45.0
ORN_VA1v,sensory,94,0.10638297872340426,10,0.031914893617021274,3,-49.87128,-45.0
LC15,visual_projection,52,0.11538461538461539,6,0.057692307692307696,3,-55.33645,-45.0
M_vPNml65,central,4,1.5,6,0.75,3,-49.689842,-45.0
ORN_VM4,sensory,75,0.08,6,0.04,3,-48.337326,-45.0
LPLC1,visual_projection,39,0.1282051282051282,5,0.07692307692307693,3,-70.98291,-45.03125
ORN_DM4,sensory,40,0.125,5,0.075,3,-52.0825,-45.0
ORN_VL2p,sensory,23,0.21739130434782608,5,0.13043478260869565,3,-49.050587,-45.03125
CB2784,central,5,0.8,4,0.6,3,-49.202217,-45.0
JO-CA,sensory,17,0.23529411764705882,4,0.17647058823529413,3,-51.965668,-45.0625
AstA1,central,1,3.0,3,3.0,3,-51.335625,-45.3125
CB0079,central,1,3.0,3,3.0,3,-48.722813,-45.0
CB0687,central,1,3.0,3,3.0,3,-50.732033,-45.0
CB0987,central,1,3.0,3,3.0,3,-48.060158,-45.0625
CB1546,central,4,0.75,3,0.75,3,-49.68457,-45.03125
CB2372,central,4,0.75,3,0.75,3,-49.77121,-45.0
CB2536,central,3,1.0,3,1.0,3,-49.31229,-45.0
CB2860,central,3,1.0,3,1.0,3,-49.77135,-45.0
CB3830,optic,44,0.06818181818181818,3,0.06818181818181818,3,-51.930992,-45.0
CRE042,central,1,3.0,3,3.0,3,-50.824844,-45.0625
CRE069,central,2,1.5,3,1.5,3,-49.563828,-45.0625
DM6_adPN,central,5,0.6,3,0.6,3,-50.156124,-45.0
DNbe001,descending,2,1.5,3,1.5,3,-51.56797,-45.03125
DNbe007,descending,2,1.5,3,1.5,3,-52.61258,-45.15625
DNp11,descending,2,1.5,3,1.5,3,-64.313286,-45.125
DP1m_vPN,central,4,0.75,3,0.75,3,-50.48758,-45.0
HSS,visual_projection,1,3.0,3,3.0,3,-62.612656,-45.0
LAL100,central,1,3.0,3,3.0,3,-49.94719,-45.34375
LHPV7a1b,central,1,3.0,3,3.0,3,-50.145626,-45.09375
LPT50,visual_projection,1,3.0,3,3.0,3,-50.59281,-45.09375
LPi12,optic,1,3.0,3,3.0,3,-50.927345,-45.40625
LT78,visual_projection,4,0.75,3,0.75,3,-51.092697,-45.0
LTe18,visual_projection,1,3.0,3,3.0,3,-50.106407,-45.0
LTe76,visual_projection,2,1.5,3,1.5,3,-53.540234,-45.09375
MB-C1,central,2,1.5,3,1.5,3,-50.32117,-45.03125
MBON20,central,2,1.5,3,1.5,3,-51.02578,-45.3125
M_lv2PN9t49a,central,1,3.0,3,3.0,3,-50.543438,-45.03125
M_lvPNm42,central,3,1.0,3,1.0,3,-49.36005,-45.0
M_vPNml51,central,2,1.5,3,1.5,3,-50.604378,-45.0
M_vPNml62,central,2,1.5,3,1.5,3,-50.079216,-45.0
ORN_DL2d,sensory,13,0.23076923076923078,3,0.23076923076923078,3,-50.21523,-45.03125
ORN_VA5,sensory,12,0.25,3,0.25,3,-48.93349,-45.0
PLP051,central,2,1.5,3,1.5,3,-49.870705,-45.03125
PS213,central,1,3.0,3,3.0,3,-51.872032,-45.375
PVLP022,central,1,3.0,3,3.0,3,-50.217968,-45.09375
PVLP128,central,6,0.5,3,0.5,3,-55.002502,-45.09375
SMP164,central,2,1.5,3,1.5,3,-49.775234,-45.0
Tm20,optic,1,3.0,3,3.0,3,-49.935623,-45.0625
VC2_lPN,central,1,3.0,3,3.0,3,-50.73047,-45.125
VES016,central,2,1.5,3,1.5,3,-49.92922,-45.0
VES041,central,1,3.0,3,3.0,3,-50.23281,-45.0625
VP3+_l2PN,central,3,1.0,3,1.0,3,-50.35026,-45.03125
V_l2PN,central,2,1.5,3,1.5,3,-68.22656,-45.09375
WEDPN2B,central,2,1.5,3,1.5,3,-49.717575,-45.09375
l2LN21,central,2,1.5,3,1.5,3,-50.373596,-45.03125
mALB1,central,2,1.5,3,1.5,3,-50.426018,-45.03125
v2LN39a,central,4,0.75,3,0.75,3,-49.77027,-45.03125
vLN24,central,2,1.5,3,1.5,3,-49.99305,-45.03125
VCH,visual_centrifugal,2,77.5,155,1.0,2,-179.16664,-45.03125
Li16,optic,2,6.5,13,1.0,2,-91.67508,-45.03125
LLPC3,visual_projection,62,0.08064516129032258,5,0.03225806451612903,2,-51.138252,-45.0
AOTU019,central,1,3.0,3,2.0,2,-51.830624,-45.15625
CB0734,central,4,0.75,3,0.5,2,-50.16715,-45.0
CB3575,central,2,1.5,3,1.0,2,-49.85383,-45.03125
CL319,central,2,1.5,3,1.0,2,-49.68844,-45.03125
HSN,visual_projection,1,3.0,3,2.0,2,-57.028595,-45.0625
