label,run_dir,brain_context_modes,log_rows,nonzero_command_cycles,mean_left_drive,mean_right_drive,mean_forward_drive,mean_signed_turn_command,mean_abs_turn_command,mean_inferred_turn_bias,mean_inferred_turn_confidence,mean_brain_context_turn_rate_hz,max_brain_context_turn_rate_hz,mean_brain_context_forward_rate_hz,sim_seconds,wall_seconds,real_time_factor,avg_forward_speed,path_length,stable,completed_cycles,completed_full_duration,failure_type,failure_message
strict_default_real_brain,outputs\compare_5s_strict_fast_v2\flygym-demo-20260308-195012,none,2500,107,0.012608408682406072,-0.003888700885450794,0.004359853898477639,-0.016497109567856872,0.01793156056991379,0.0,0.0,0.0,0.0,0.0,5.000000000001686,1220.511219248,0.0040966440300994,2.162924888663345,10.810298593539402,1.0,2500,1.0,nan,nan
zero_brain_baseline,outputs\compare_5s_zero_brain_fast\flygym-demo-20260308-201434,none,2500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000001686,765.8306939690001,0.0065288581919962,0.0759481081703192,0.3795886446352556,1.0,2500,1.0,nan,nan
