exp_id,region_member,region_source,spontaneous_walk_regressor_member,forced_walk_regressor_member,region_count,time_count,walk_window_frames,forced_window_frames,window_overlap_fraction,valid_vector_region_count,steady_walk_vector_corr,steady_walk_vector_cosine,steady_walk_rank_corr,spontaneous_prelead_fraction,spontaneous_minus_forced_prelead_delta,prelead_width_frames,prelead_valid_region_count
B350,Additional_data/FunctionallyDefinedAnatomicalRegions/B350_150FuncRegionsTS.mat,additional_data,Additional_data/AllRegressors/B350_1to3000Walkkd.mat,Additional_data/AllRegressors/B350ForcedBin3650_3900kd.mat,150,4996,3000,251,0.0,146,-0.4950717838635071,-0.5294635942899466,-0.5383752205223125,,,0,0
B1269,Additional_data/FunctionallyDefinedAnatomicalRegions/B1269_150FuncRegionsTS.mat,additional_data,Additional_data/AllRegressors/B1269_70_103_Walkbinkd.mat,Additional_data/AllRegressors/B1269_240_end_Forcedbinkd.mat,150,536,34,297,0.0,141,0.09191990776573933,0.15576796361032827,0.1358448563722762,0.6241135001182556,0.013932164758443832,34,141
