window_ms,condition,candidate_label,side,mean_rate_hz,mean_voltage_mv,mean_conductance
100.0,body_center_dark,DNb09,left,60.0,-51.0202522277832,9.47474479675293
100.0,body_center_dark,DNb09,right,40.0,-50.95100402832031,7.545453071594238
100.0,body_center_dark,DNp103,left,140.0,-51.06025314331055,21.202030181884766
100.0,body_center_dark,DNp103,right,140.0,-51.216941833496094,21.029144287109375
100.0,body_center_dark,DNp43,left,20.0,-52.66984558105469,2.07200026512146
100.0,body_center_dark,DNp43,right,0.0,-69.4685287475586,-24.21636962890625
100.0,body_center_dark,DNg97,left,20.0,-57.090240478515625,-1.7345844507217407
100.0,body_center_dark,DNg97,right,30.0,-57.2652587890625,-1.3329893350601196
100.0,body_center_dark,DNp18,left,80.0,-50.8173828125,12.6766357421875
100.0,body_center_dark,DNp18,right,100.0,-50.49995803833008,15.736679077148438
100.0,body_center_dark,DNpe056,left,70.0,-50.34660339355469,12.34829044342041
100.0,body_center_dark,DNpe056,right,100.0,-50.10581970214844,16.11971092224121
100.0,body_center_dark,DNae002,left,30.0,-58.410057067871094,-4.469073295593262
100.0,body_center_dark,DNae002,right,90.0,-52.79572677612305,10.220706939697266
100.0,body_center_dark,DNpe040,left,70.0,-49.961036682128906,13.332368850708008
100.0,body_center_dark,DNpe040,right,60.0,-50.26661682128906,11.336877822875977
100.0,body_center_dark,DNpe016,left,10.0,-53.84111785888672,-1.5877716541290283
100.0,body_center_dark,DNpe016,right,70.0,-52.03617477416992,10.325284957885742
100.0,body_center_dark,DNp69,left,0.0,-88.87566375732422,-50.109230041503906
100.0,body_center_dark,DNp69,right,0.0,-115.91746520996094,-85.33460235595703
100.0,body_right_dark,DNp09,left,20.0,-51.37744903564453,3.368201494216919
100.0,body_right_dark,DNp09,right,0.0,-90.62329864501953,-50.7107048034668
100.0,body_right_dark,DNp35,left,20.0,-77.30826568603516,-33.02077102661133
100.0,body_right_dark,DNp35,right,20.0,-118.38859558105469,-86.58132934570312
100.0,body_right_dark,DNp06,left,60.0,-55.458919525146484,2.541536331176758
100.0,body_right_dark,DNp06,right,70.0,-54.65541076660156,7.424824237823486
100.0,body_right_dark,DNpe031,left,55.0,-50.38871955871582,9.535361289978027
100.0,body_right_dark,DNpe031,right,45.0,-49.98051834106445,8.645172595977783
100.0,body_right_dark,DNb01,left,20.0,-53.63246154785156,1.1841365098953247
100.0,body_right_dark,DNb01,right,70.0,-49.92208480834961,12.557140350341797
100.0,body_right_dark,DNp71,left,50.0,-49.723052978515625,10.088865280151367
100.0,body_right_dark,DNp71,right,60.0,-51.8752326965332,8.586856842041016
100.0,body_right_dark,DNb09,left,30.0,-51.85163116455078,4.524533748626709
100.0,body_right_dark,DNb09,right,10.0,-52.11144256591797,1.17633056640625
100.0,body_right_dark,DNp103,left,150.0,-50.92308807373047,22.734325408935547
100.0,body_right_dark,DNp103,right,150.0,-50.94448471069336,22.709415435791016
100.0,body_right_dark,DNp43,left,10.0,-55.97077941894531,-4.4678521156311035
100.0,body_right_dark,DNp43,right,0.0,-69.4629135131836,-23.35064125061035
100.0,body_right_dark,DNg97,left,30.0,-55.252471923828125,0.7483240365982056
100.0,body_right_dark,DNg97,right,80.0,-51.264835357666016,12.094160079956055
100.0,body_right_dark,DNp18,left,60.0,-50.906890869140625,10.316999435424805
100.0,body_right_dark,DNp18,right,80.0,-51.26422882080078,11.9733247756958
100.0,body_right_dark,DNpe056,left,90.0,-50.25602340698242,14.529023170471191
100.0,body_right_dark,DNpe056,right,70.0,-50.471397399902344,12.083948135375977
100.0,body_right_dark,DNae002,left,20.0,-56.69755172729492,-1.879741907119751
100.0,body_right_dark,DNae002,right,80.0,-52.30913162231445,12.159441947937012
100.0,body_right_dark,DNpe040,left,60.0,-50.25498580932617,11.268213272094727
100.0,body_right_dark,DNpe040,right,70.0,-50.239444732666016,11.908113479614258
100.0,body_right_dark,DNpe016,left,0.0,-54.51731872558594,-1.6488758325576782
100.0,body_right_dark,DNpe016,right,70.0,-51.0392951965332,10.970528602600098
100.0,body_right_dark,DNp69,left,0.0,-88.81471252441406,-50.91719055175781
100.0,body_right_dark,DNp69,right,0.0,-109.33269500732422,-77.65341186523438
500.0,baseline_gray,DNp09,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp09,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp35,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp35,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp06,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp06,right,0.0,-52.0,0.0
500.0,baseline_gray,DNpe031,left,0.0,-52.0,0.0
500.0,baseline_gray,DNpe031,right,0.0,-52.0,0.0
500.0,baseline_gray,DNb01,left,0.0,-52.0,0.0
500.0,baseline_gray,DNb01,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp71,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp71,right,0.0,-52.0,0.0
500.0,baseline_gray,DNb09,left,0.0,-52.0,0.0
500.0,baseline_gray,DNb09,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp103,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp103,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp43,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp43,right,0.0,-52.0,0.0
500.0,baseline_gray,DNg97,left,0.0,-52.0,0.0
500.0,baseline_gray,DNg97,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp18,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp18,right,0.0,-52.0,0.0
500.0,baseline_gray,DNpe056,left,0.0,-52.0,0.0
500.0,baseline_gray,DNpe056,right,0.0,-52.0,0.0
500.0,baseline_gray,DNae002,left,0.0,-52.0,0.0
500.0,baseline_gray,DNae002,right,0.0,-52.0,0.0
500.0,baseline_gray,DNpe040,left,0.0,-52.0,0.0
500.0,baseline_gray,DNpe040,right,0.0,-52.0,0.0
500.0,baseline_gray,DNpe016,left,0.0,-52.0,0.0
500.0,baseline_gray,DNpe016,right,0.0,-52.0,0.0
500.0,baseline_gray,DNp69,left,0.0,-52.0,0.0
500.0,baseline_gray,DNp69,right,0.0,-52.0,0.0
500.0,body_left_dark,DNp09,left,18.0,-51.08685302734375,3.4656078815460205
500.0,body_left_dark,DNp09,right,0.0,-87.531982421875,-36.66964340209961
500.0,body_left_dark,DNp35,left,4.0,-103.94038391113281,-53.625057220458984
500.0,body_left_dark,DNp35,right,2.0,-179.7996826171875,-133.6217803955078
500.0,body_left_dark,DNp06,left,10.0,-67.81822204589844,-14.597495079040527
