label,run_dir,brain_context_modes,log_rows,nonzero_command_cycles,mean_left_drive,mean_right_drive,mean_forward_drive,mean_signed_turn_command,mean_abs_turn_command,mean_inferred_turn_bias,mean_inferred_turn_confidence,mean_brain_context_turn_rate_hz,max_brain_context_turn_rate_hz,mean_brain_context_forward_rate_hz,sim_seconds,wall_seconds,real_time_factor,avg_forward_speed,path_length,stable,completed_cycles,completed_full_duration,failure_type,failure_message
strict_default,outputs\compare_5s_strict_fast\flygym-demo-20260308-180228,none,285,11,0.009613657320110446,-0.0008720956189021319,0.004370780850604157,-0.010485752939012579,0.01468005411461761,0.0,0.0,0.0,0.0,0.0,0.5699999999999535,142.17050696799998,0.0040092703624405,8.948491635565512,5.0827432490012106,0.0,285,0.0,PhysicsError,Physics state is invalid. Warning(s) raised: mjWARN_INERTIA
public_p9_context,outputs\compare_5s_public_p9_fast\flygym-demo-20260308-180519,public_p9_context,2500,643,0.08301854213576418,0.06293622810696704,0.07297738512136562,-0.020082314028796868,0.020082314028796868,0.0,0.0,0.0,0.0,0.0,5.000000000001686,1294.85145962,0.0038614467805203,6.6432116729154975,33.20277194123166,1.0,2500,1.0,nan,nan
inferred_visual_turn,outputs\compare_5s_inferred_turn_fast\flygym-demo-20260308-182847,inferred_visual_turn_context,2500,530,0.06770581753911686,0.05073148068144317,0.05921864911028002,-0.016974336857673553,0.018408787859730467,0.0022313830102919235,0.014990602916008473,0.01731101355224114,0.0933508204682162,76.30783584192899,5.000000000001686,1166.9628344490002,0.0042846265985518,6.488748325296989,32.430764129834344,1.0,2500,1.0,nan,nan
