condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz,student_raw_voltage_mv,student_delta_voltage_mv,student_raw_conductance,student_delta_conductance
body_center_dark,T4a,right,2,225,177,-0.017561821784798263,0.26094348811272844,-0.2785053098975267,-0.2785053098975267,-21.253761953385094,0.0,0.0,-848.178203345692,-796.178203345692,-1011.2626235875706,-1011.2626235875706
body_center_dark,T4a,left,3,135,187,-0.3398742966354971,0.03288569117204235,-0.3727599878075395,-0.3727599878075395,-28.44668221774012,0.0,0.0,-1106.9948913247827,-1054.9948913247827,-1339.8204796122996,-1339.8204796122996
body_center_dark,T4a,right,3,135,190,-0.3398742966354971,0.03288569117204235,-0.3727599878075395,-0.3727599878075395,-28.44668221774012,0.0,0.0,-1105.8277761358963,-1053.8277761358963,-1338.3626188579358,-1338.3626188579358
body_center_dark,T4b,left,0,136,189,-0.26556482517614366,-0.06484264918703155,-0.20072217598911213,-0.20072217598911213,-15.317845641103677,0.0,0.0,-622.4699874958663,-570.4699874958663,-724.5166551700976,-724.5166551700976
body_center_dark,T4b,right,0,136,193,-0.26556482517614366,-0.06484264918703155,-0.20072217598911213,-0.20072217598911213,-15.317845641103677,0.0,0.0,-625.6772947953773,-573.6772947953773,-728.7030035621761,-728.7030035621761
body_center_dark,T4b,left,1,225,189,-0.11080088851410741,0.07565799466757905,-0.18645888318168646,-0.18645888318168646,-14.229361439089736,0.0,0.0,-579.7839875397859,-527.7839875397859,-670.2781727301381,-670.2781727301381
body_center_dark,T4b,right,1,225,182,-0.11080088851410741,0.07565799466757905,-0.18645888318168646,-0.18645888318168646,-14.229361439089736,0.0,0.0,-582.1200682252318,-530.1200682252318,-673.312726031293,-673.312726031293
body_center_dark,T4b,left,2,225,189,-0.13494380336471498,-0.04771319189839738,-0.08723061146631761,-0.08723061146631761,-6.656887984776635,0.0,0.0,-308.65202581819403,-256.65202581819403,-326.0549035450769,-326.0549035450769
body_center_dark,T4b,right,2,225,182,-0.13494380336471498,-0.04771319189839738,-0.08723061146631761,-0.08723061146631761,-6.656887984776635,0.0,0.0,-311.3105923160092,-259.3105923160092,-329.5223269619785,-329.5223269619785
body_center_dark,T4b,left,3,135,189,-0.2737178284373604,0.0664151475363286,-0.340132975973689,-0.340132975973689,-25.956795245667365,0.0,0.0,-1013.9592688827918,-961.9592688827918,-1221.6674598007605,-1221.6674598007605
body_center_dark,T4b,right,3,135,194,-0.2737178284373604,0.0664151475363286,-0.340132975973689,-0.340132975973689,-25.956795245667365,0.0,0.0,-1013.8364717149243,-961.8364717149243,-1221.5473683150774,-1221.5473683150774
body_center_dark,T4c,left,0,136,212,-0.16018124818254578,0.008041001929942629,-0.16822225011248843,-0.16822225011248843,-12.83765706466837,0.0,0.0,-528.7611616602484,-476.7611616602484,-605.4931174224278,-605.4931174224278
body_center_dark,T4c,right,0,136,226,-0.16018124818254578,0.008041001929942629,-0.16822225011248843,-0.16822225011248843,-12.83765706466837,0.0,0.0,-532.080592062621,-480.080592062621,-609.7874218425919,-609.7874218425919
body_center_dark,T4c,left,1,225,213,-0.09950498346242562,0.08050569034333521,-0.18001067380576083,-0.18001067380576083,-13.737274925005194,0.0,0.0,-560.6106788026335,-508.6106788026335,-645.9186642069212,-645.9186642069212
body_center_dark,T4c,right,1,225,195,-0.09950498346242562,0.08050569034333521,-0.18001067380576083,-0.18001067380576083,-13.737274925005194,0.0,0.0,-562.0288818359375,-510.02888183593745,-647.7618718073918,-647.7618718073918
body_center_dark,T4c,left,2,225,213,-0.14853012540039345,-0.09939822103323726,-0.0491319043671562,-0.0491319043671562,-3.7494358729470414,0.0,0.0,-199.5376512411055,-147.5376512411055,-187.46325733740005,-187.46325733740005
body_center_dark,T4c,right,2,225,195,-0.14853012540039345,-0.09939822103323726,-0.0491319043671562,-0.0491319043671562,-3.7494358729470414,0.0,0.0,-202.68811786358174,-150.68811786358174,-191.50285292405349,-191.50285292405349
body_center_dark,T4c,left,3,135,212,-0.34579247885310366,-0.07055043669232099,-0.2752420421607827,-0.2752420421607827,-21.004730020412474,0.0,0.0,-830.3411370043484,-778.3411370043484,-988.4716912035672,-988.4716912035672
body_center_dark,T4c,right,3,135,226,-0.34579247885310366,-0.07055043669232099,-0.2752420421607827,-0.2752420421607827,-21.004730020412474,0.0,0.0,-830.6323428533774,-778.6323428533774,-988.8771710691199,-988.8771710691199
body_center_dark,T4d,left,0,136,201,-0.11919648939639206,-0.1771732623456046,0.05797677294921254,0.05797677294921254,4.424420243698062,189.00497512437812,189.00497512437812,-50.643181454482956,1.3568185455170436,28.78218491397687,28.78218491397687
body_center_dark,T4d,right,0,136,205,-0.11919648939639206,-0.1771732623456046,0.05797677294921254,0.05797677294921254,4.424420243698062,189.85365853658536,189.85365853658536,-50.64218636489496,1.357813635105039,28.78995439482898,28.78995439482898
body_center_dark,T4d,left,1,225,200,-0.20799385419658695,-0.23783060388432609,0.02983674968773914,0.02983674968773914,2.276951831041467,147.9,147.9,-50.36301244735718,1.6369875526428217,22.936334142684938,22.936334142684938
body_center_dark,T4d,right,1,225,183,-0.20799385419658695,-0.23783060388432609,0.02983674968773914,0.02983674968773914,2.276951831041467,148.5792349726776,148.5792349726776,-50.36101471530935,1.6389852846906479,23.005189395341716,23.005189395341716
body_center_dark,T4d,left,2,225,200,-0.1065388798700749,-0.13277302200595537,0.02623414213588046,0.02623414213588046,2.002023631838211,139.35,139.35,-50.32095851898193,1.6790414810180678,21.810079975128176,21.810079975128176
body_center_dark,T4d,right,2,225,183,-0.1065388798700749,-0.13277302200595537,0.02623414213588046,0.02623414213588046,2.002023631838211,133.71584699453553,133.71584699453553,-50.264061286801194,1.7359387131988058,21.111795884012526,21.111795884012526
body_center_dark,T4d,left,3,135,201,-0.06694192121115823,-0.11775025003762157,0.05080832882646334,0.05080832882646334,3.8773699737512817,180.0,180.0,-50.61347219362781,1.386527806372193,27.68557937584113,27.68557937584113
body_center_dark,T4d,right,3,135,205,-0.06694192121115823,-0.11775025003762157,0.05080832882646334,0.05080832882646334,3.8773699737512817,180.0,180.0,-50.60032964566859,1.3996703543314126,27.527456692951482,27.527456692951482
