condition,frame_count,brain_neuron_count,global_spike_fraction_mean,global_spike_fraction_std,spiking_neurons_per_frame_mean,spiking_neurons_per_frame_max,selected_units,spiking_units,selected_and_spiking,selected_not_spiking,selected_not_spiking_fraction_of_selected,spiking_units_fraction_of_brain,background_mean_rate_hz_mean,background_active_fraction_mean,background_latent_mean_abs_hz_mean,background_latent_std_hz_mean,global_voltage_std_mean,salience_abs_asym_mean,forward_salience_mean,inferred_turn_confidence_mean,flyvis_total_activity_mean,flyvis_total_activity_std,flyvis_abs_asym_mean,flyvis_abs_asym_std
target,200,138639,0.0016067917458713055,0.00031864423695108677,221.015,340,42269,22864,22864,19405,0.459083489081833,0.1649175196012666,0.03136318922042847,0.024228811264038086,0.961259663105011,1.1025898456573486,56.0675163269043,-0.002777576446533203,0.6369049549102783,0.0,0.752321183681488,0.0015256009064614773,0.036526963114738464,0.0041554151102900505
no_target,200,138639,0.0016660824185237288,0.0003000114536317188,229.72,298,39071,22653,22653,16418,0.42020936244273244,0.16339558132992882,0.03136318922042847,0.024228811264038086,0.961259663105011,1.1025898456573486,50.19036865234375,-0.00615695770829916,0.6266176700592041,0.0,0.7411640882492065,0.0012907262425869703,0.042656268924474716,0.0046075452119112015
