swap_uv,flip_u,flip_v,mean_voltage_group_corr,mean_voltage_side_corr,left_turn_bias,right_turn_bias,sign_match,score,num_nonzero_inputs_left,num_nonzero_inputs_right
False,True,False,0.8764179586837813,0.8466385477243819,5.0,-10.0,False,-0.4269434935918369,55214,55215
True,False,False,0.8714523973658747,0.8231346728647686,10.0,-5.0,False,-0.45541292976935666,55214,55215
False,False,True,0.8764257332571136,0.8466820736426895,-30.0,0.0,False,-0.5768921931001969,55215,55214
True,True,True,0.8714496264040061,0.8230674573363125,-15.0,-15.0,False,-0.6054829162596815,55215,55214
True,False,True,0.8764294397092572,0.8465286440929434,-35.0,-5.0,False,-0.6770419161977995,55215,55214
False,True,True,0.8714491303179036,0.8233234929059732,10.0,30.0,False,-0.7052273767761231,55215,55214
True,True,False,0.8764384355314507,0.8466013030397931,-5.0,-40.0,False,-0.7269602614287562,55214,55215
False,False,False,0.8714338397274694,0.8232517046348646,35.0,-15.0,False,-0.8053144556376659,55214,55215
